task,method,seed,success,failure_type,edit_correct,preservation_ok,artifact_level,review_image,result_image,notes
cat_crown,base_only,10,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/base_only/seed_10/result.png,
cat_crown,base_only,11,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/base_only/seed_11/result.png,
cat_crown,base_only,12,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/base_only/seed_12/result.png,
cat_crown,direct_target,10,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/direct_target/seed_10/result.png,
cat_crown,direct_target,11,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/direct_target/seed_11/result.png,
cat_crown,direct_target,12,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/direct_target/seed_12/result.png,
cat_crown,full_no_ref,10,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full_no_ref/seed_10/result.png,
cat_crown,full_no_ref,11,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full_no_ref/seed_11/result.png,
cat_crown,full_no_ref,12,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full_no_ref/seed_12/result.png,
cat_crown,full_no_rec,10,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full_no_rec/seed_10/result.png,
cat_crown,full_no_rec,11,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full_no_rec/seed_11/result.png,
cat_crown,full_no_rec,12,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full_no_rec/seed_12/result.png,
cat_crown,full_no_traj,10,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full_no_traj/seed_10/result.png,
cat_crown,full_no_traj,11,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full_no_traj/seed_11/result.png,
cat_crown,full_no_traj,12,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full_no_traj/seed_12/result.png,
cat_crown,full,10,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full/seed_10/result.png,
cat_crown,full,11,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full/seed_11/result.png,
cat_crown,full,12,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/full/seed_12/result.png,
dog_sunglasses,base_only,10,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/base_only/seed_10/result.png,
dog_sunglasses,base_only,11,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/base_only/seed_11/result.png,
dog_sunglasses,base_only,12,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/base_only/seed_12/result.png,
dog_sunglasses,direct_target,10,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/direct_target/seed_10/result.png,
dog_sunglasses,direct_target,11,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/direct_target/seed_11/result.png,
dog_sunglasses,direct_target,12,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/direct_target/seed_12/result.png,
dog_sunglasses,full_no_ref,10,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full_no_ref/seed_10/result.png,
dog_sunglasses,full_no_ref,11,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full_no_ref/seed_11/result.png,
dog_sunglasses,full_no_ref,12,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full_no_ref/seed_12/result.png,
dog_sunglasses,full_no_rec,10,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full_no_rec/seed_10/result.png,
dog_sunglasses,full_no_rec,11,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full_no_rec/seed_11/result.png,
dog_sunglasses,full_no_rec,12,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full_no_rec/seed_12/result.png,
dog_sunglasses,full_no_traj,10,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full_no_traj/seed_10/result.png,
dog_sunglasses,full_no_traj,11,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full_no_traj/seed_11/result.png,
dog_sunglasses,full_no_traj,12,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full_no_traj/seed_12/result.png,
dog_sunglasses,full,10,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full/seed_10/result.png,
dog_sunglasses,full,11,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full/seed_11/result.png,
dog_sunglasses,full,12,,,,,,outputs/pretty_matrix/dog_sunglasses_seed_method_review.png,outputs/pretty_matrix/dog_sunglasses/full/seed_12/result.png,
mug_heart,base_only,10,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/base_only/seed_10/result.png,
mug_heart,base_only,11,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/base_only/seed_11/result.png,
mug_heart,base_only,12,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/base_only/seed_12/result.png,
mug_heart,direct_target,10,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/direct_target/seed_10/result.png,
