task,base_method,edit_multiplier,clip_target_minus_source,outside_mask_l1,inside_mask_l1,source_ssim_luma,result_image
cat_crown,support_v3_controller_rmsgap,0.5,0.10094505548477173,0.054006557911634445,0.10972723364830017,0.8772696004126964,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_10/result.png
cat_crown,support_v3_controller_rmsgap,0.75,0.09125779569149017,0.05402559041976929,0.12647253274917603,0.8755243082594315,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_10/result.png
cat_crown,support_v3_controller_rmsgap,1.0,0.10331793129444122,0.05403779447078705,0.13759872317314148,0.873680049205787,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_10/result.png
cat_crown,support_v3_controller_rmsgap,1.25,0.09519118070602417,0.054059598594903946,0.16072097420692444,0.8697337463290797,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_10/result.png
cat_crown,support_v3_controller_rmsgap,1.5,0.0901220440864563,0.054714497178792953,0.19304914772510529,0.8630789235722177,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_10/result.png
cat_crown,support_v3_fixed,0.5,0.09396199882030487,0.05382275581359863,0.11503612995147705,0.8778244637106014,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit050/seed_10/result.png
cat_crown,support_v3_fixed,0.75,0.09202349185943604,0.05367448925971985,0.1301681250333786,0.8760083597546994,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit075/seed_10/result.png
cat_crown,support_v3_fixed,1.0,0.09226568043231964,0.05374688655138016,0.16457082331180573,0.8717591266321546,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit100/seed_10/result.png
cat_crown,support_v3_fixed,1.25,0.09170293807983398,0.0552360974252224,0.2058737576007843,0.8612208266808193,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit125/seed_10/result.png
cat_crown,support_v3_fixed,1.5,0.06301477551460266,0.055334579199552536,0.2465163916349411,0.8566949865956652,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit150/seed_10/result.png
mug_heart,support_v3_controller_rmsgap,0.5,0.050968289375305176,0.007435895036906004,0.05583639442920685,0.9054354147041866,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit050/seed_10/result.png
mug_heart,support_v3_controller_rmsgap,0.75,0.04520329833030701,0.007504134904593229,0.06879272311925888,0.8796881900405352,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit075/seed_10/result.png
mug_heart,support_v3_controller_rmsgap,1.0,0.043876856565475464,0.00771446293219924,0.07648108899593353,0.8679553536852896,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit100/seed_10/result.png
mug_heart,support_v3_controller_rmsgap,1.25,0.04252025485038757,0.00785684585571289,0.08181320875883102,0.8561312220586182,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit125/seed_10/result.png
mug_heart,support_v3_controller_rmsgap,1.5,0.04431360960006714,0.00805645901709795,0.08468160778284073,0.8522048095068195,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_edit150/seed_10/result.png
mug_heart,support_v3_fixed,0.5,0.049120306968688965,0.007531228009611368,0.05911805480718613,0.9034010593051056,outputs/pretty_matrix/mug_heart/support_v3_fixed_edit050/seed_10/result.png
mug_heart,support_v3_fixed,0.75,0.04493996500968933,0.0076180631294846535,0.07120505720376968,0.8775933403241583,outputs/pretty_matrix/mug_heart/support_v3_fixed_edit075/seed_10/result.png
mug_heart,support_v3_fixed,1.0,0.042412400245666504,0.00781150721013546,0.07819762080907822,0.8643264235489483,outputs/pretty_matrix/mug_heart/support_v3_fixed_edit100/seed_10/result.png
mug_heart,support_v3_fixed,1.25,0.042800694704055786,0.007879113778471947,0.0827375128865242,0.853479644480844,outputs/pretty_matrix/mug_heart/support_v3_fixed_edit125/seed_10/result.png
mug_heart,support_v3_fixed,1.5,0.04340428113937378,0.008052198216319084,0.0855925902724266,0.8497204424430814,outputs/pretty_matrix/mug_heart/support_v3_fixed_edit150/seed_10/result.png
