task,seed,method,baseline_method,clip_target_minus_source,fixed_clip_target_minus_source,delta_clip_target_minus_source,outside_mask_l1,fixed_outside_mask_l1,delta_outside_mask_l1,inside_mask_l1,fixed_inside_mask_l1,delta_inside_mask_l1,source_ssim_luma,fixed_source_ssim_luma,delta_source_ssim_luma,success_loose,success_strict
cat_crown,10,support_v3_controller_hybrid,support_v3_fixed,0.10016205906867981,0.09198793768882751,0.008174121379852295,0.054038964211940765,0.05376270413398743,0.0002762600779533386,0.13764870166778564,0.16765719652175903,-0.03000849485397339,0.8739199420678134,0.8714118792130315,0.0025080628547818895,True,False
cat_crown,10,support_v3_controller_progress,support_v3_fixed,0.08906689286231995,0.09198793768882751,-0.0029210448265075684,0.054766733199357986,0.05376270413398743,0.0010040290653705597,0.1987600326538086,0.16765719652175903,0.03110283613204956,0.8622848883847052,0.8714118792130315,-0.009126990828326353,False,False
cat_crown,10,support_v3_controller_rmsgap,support_v3_fixed,0.09784956276416779,0.09198793768882751,0.005861625075340271,0.0540444441139698,0.05376270413398743,0.0002817399799823761,0.1373361349105835,0.16765719652175903,-0.030321061611175537,0.8737736827841852,0.8714118792130315,0.0023618035711536756,True,False
cat_crown,11,support_v3_controller_progress,support_v3_fixed,0.0867895781993866,0.09182623028755188,-0.005036652088165283,0.054775260388851166,0.05373867601156235,0.0010365843772888184,0.19643883407115936,0.16551069915294647,0.03092813491821289,0.8626437882571854,0.8716135073452734,-0.00896971908808808,False,False
cat_crown,11,support_v3_controller_rmsgap,support_v3_fixed,0.102425217628479,0.09182623028755188,0.010598987340927124,0.05404279753565788,0.05373867601156235,0.0003041215240955353,0.13359226286411285,0.16551069915294647,-0.03191843628883362,0.8744053716664747,0.8716135073452734,0.002791864321201265,True,False
cat_crown,12,support_v3_controller_progress,support_v3_fixed,0.08670765161514282,0.09218832850456238,-0.005480676889419556,0.05476633459329605,0.053730741143226624,0.0010355934500694275,0.19656012952327728,0.16393423080444336,0.03262589871883392,0.8628868717272373,0.8717134470177841,-0.008826575290546756,False,False
cat_crown,12,support_v3_controller_rmsgap,support_v3_fixed,0.09811566770076752,0.09218832850456238,0.005927339196205139,0.05404631420969963,0.053730741143226624,0.0003155730664730072,0.13705672323703766,0.16393423080444336,-0.0268775075674057,0.8738510422243916,0.8717134470177841,0.002137595206607501,True,False
dog_sunglasses,10,support_v3_controller_hybrid,support_v3_fixed,0.10129675269126892,0.09832444787025452,0.0029723048210144043,0.04577649012207985,0.04582487419247627,-4.838407039642334e-05,0.18283644318580627,0.1826533079147339,0.0001831352710723877,0.9034142729219339,0.9038029542465928,-0.0003886813246589682,True,True
dog_sunglasses,10,support_v3_controller_progress,support_v3_fixed,0.09266766905784607,0.09832444787025452,-0.005656778812408447,0.04585571587085724,0.04582487419247627,3.0841678380966187e-05,0.18782579898834229,0.1826533079147339,0.0051724910736083984,0.901687698293258,0.9038029542465928,-0.002115255953334838,False,False
dog_sunglasses,10,support_v3_controller_rmsgap,support_v3_fixed,0.10065054893493652,0.09832444787025452,0.002326101064682007,0.045777298510074615,0.04582487419247627,-4.7575682401657104e-05,0.18273550271987915,0.1826533079147339,8.219480514526367e-05,0.9034068757685725,0.9038029542465928,-0.00039607847802036744,True,True
dog_sunglasses,11,support_v3_controller_progress,support_v3_fixed,0.09303048253059387,0.09846016764640808,-0.005429685115814209,0.04593552276492119,0.04582729935646057,0.00010822340846061707,0.183256596326828,0.18261027336120605,0.0006463229656219482,0.903161226897983,0.9038492305910215,-0.0006880036930385636,False,False
dog_sunglasses,11,support_v3_controller_rmsgap,support_v3_fixed,0.10048902034759521,0.09846016764640808,0.002028852701187134,0.04577269405126572,0.04582729935646057,-5.4605305194854736e-05,0.1830780953168869,0.18261027336120605,0.00046782195568084717,0.9032571962567071,0.9038492305910215,-0.0005920343343144285,True,True
dog_sunglasses,12,support_v3_controller_progress,support_v3_fixed,0.09275656938552856,0.09812000393867493,-0.005363434553146362,0.045871321111917496,0.04583554342389107,3.577768802642822e-05,0.18701106309890747,0.18534857034683228,0.0016624927520751953,0.9018813606145453,0.9030364640836567,-0.001155103469111407,False,False
dog_sunglasses,12,support_v3_controller_rmsgap,support_v3_fixed,0.1002301573753357,0.09812000393867493,0.0021101534366607666,0.045778244733810425,0.04583554342389107,-5.72986900806427e-05,0.1839882880449295,0.18534857034683228,-0.001360282301902771,0.9029939126281519,0.9030364640836567,-4.255145550480233e-05,True,True
mug_heart,10,support_v3_controller_hybrid,support_v3_fixed,0.04371026158332825,0.04222044348716736,0.0014898180961608887,0.0077593824826180935,0.007824107073247433,-6.472459062933922e-05,0.07698103785514832,0.07805880159139633,-0.0010777637362480164,0.8661151328717988,0.8645987639051997,0.0015163689665990132,True,True
mug_heart,10,support_v3_controller_progress,support_v3_fixed,0.043741971254348755,0.04222044348716736,0.0015215277671813965,0.00795943196862936,0.007824107073247433,0.0001353248953819275,0.08322621136903763,0.07805880159139633,0.005167409777641296,0.8508286211263482,0.8645987639051997,-0.01377014277885158,True,False
mug_heart,10,support_v3_controller_rmsgap,support_v3_fixed,0.04322943091392517,0.04222044348716736,0.0010089874267578125,0.007690246682614088,0.007824107073247433,-0.00013386039063334465,0.0760190337896347,0.07805880159139633,-0.002039767801761627,0.8684338296111612,0.8645987639051997,0.0038350657059614823,True,True
