avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,clip_source_score,clip_target_minus_source,clip_target_score,complete,eval_mask_area,failure_flag,failure_note,final_mask_area,inside_blue_ratio,inside_mask_l1,mask_path,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,missing,outside_mask_l1,peak_gpu_memory_gb,result_image,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_rmse,source_ssim_luma,target_prompt,task
1.0,0.9260084331035614,1.0000000124176343,0.9260084430376688,-0.4812953944007556,-0.0002742431048166812,51.93013552824656,0.02566964365541935,0.026564380842804287,20.977540055910747,0.23962616920471191,0.10016205906867981,0.3397882282733917,True,0.03527250744047619,,,0.02566964365541935,0.01054713249835201,0.13764870166778564,outputs/pretty_matrix/cat_crown/support_v3_controller_hybrid/seed_10/masks/operation_v3_edit_mask.png,1.0,107.06196594238281,0.0843069776892662,48.03907012939453,support_v3_controller_hybrid,,0.054038964211940765,13.379590511322021,outputs/pretty_matrix/cat_crown/support_v3_controller_hybrid/seed_10/result.png,cat_crown/support_v3_controller_hybrid/seed_10,49.05918018403463,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.056988079100847244,A photo of a cat sitting in grass.,0.10494554071679167,0.8739199420678134,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9222855170567831,1.0,0.9222855592767397,-0.47850493465860683,-0.00040394554832801077,46.35866711537043,0.02566964365541935,0.026675237735616975,21.086676836013794,0.2509291470050812,0.08906689286231995,0.3399960398674011,True,0.03527250744047619,,,0.02566964365541935,0.004449571522742254,0.1987600326538086,outputs/pretty_matrix/cat_crown/support_v3_controller_progress/seed_10/masks/operation_v3_edit_mask.png,1.0,96.26486206054688,0.0843069776892662,48.03907012939453,support_v3_controller_progress,,0.054766733199357986,13.379590511322021,outputs/pretty_matrix/cat_crown/support_v3_controller_progress/seed_10/result.png,cat_crown/support_v3_controller_progress/seed_10,52.70275219902396,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05984574183821678,A photo of a cat sitting in grass.,0.11058508377796689,0.8622848883847052,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9259197289745013,1.0000000298023224,0.9259197115898132,-0.48148229966561,-0.00026687200170272263,51.76949538787206,0.02566964365541935,0.026566096756141633,20.97483281294505,0.2416345626115799,0.09784956276416779,0.3394841253757477,True,0.03527250744047619,,,0.02566964365541935,0.01071193144363876,0.1373361349105835,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,1.0,108.13229370117188,0.0843069776892662,48.03907012939453,support_v3_controller_rmsgap,,0.0540444441139698,13.379590511322021,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,cat_crown/support_v3_controller_rmsgap/seed_10,50.421306415926665,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05698235332965851,A photo of a cat sitting in grass.,0.10496886876801667,0.8737736827841852,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9287114640076956,1.0,0.928711454073588,-0.42401274169484776,-0.00037741318283224246,50.530774652957916,0.02566964365541935,0.02897298044990748,11.680488387743631,0.24656322598457336,0.09198793768882751,0.3385511636734009,True,0.03527250744047619,,,0.02566964365541935,0.005108767303889255,0.16765719652175903,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/masks/operation_v3_edit_mask.png,1.0,123.3782958984375,0.0843069776892662,17.941661834716797,support_v3_fixed,,0.05376270413398743,13.376965045928955,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/result.png,cat_crown/support_v3_fixed/seed_10,46.424099384923466,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.057780053466558456,A photo of a cat sitting in grass.,0.10663384618627753,0.8714118792130315,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9307589332262675,1.000000034769376,0.930758943160375,-0.4291917656858762,-0.0030216409747178354,61.67666216691335,0.04906249791383743,0.01477224545669742,14.331344564755758,0.2601648271083832,0.10129675269126892,0.3614615797996521,True,0.0617236328125,,,0.04906249791383743,0.04026580175619018,0.18283644318580627,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_hybrid/seed_10/masks/operation_v3_edit_mask.png,1.0,172.43325805664062,0.042883098125457764,29.12256622314453,support_v3_controller_hybrid,,0.04577649012207985,14.105045795440674,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_hybrid/seed_10/result.png,dog_sunglasses/support_v3_controller_hybrid/seed_10,52.819724133005366,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054236337542533875,A front-facing portrait of a dog in snow.,0.10228750160999989,0.9034142729219339,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9264441207051277,1.0000000173846881,0.9264441505074501,-0.4380543927351634,-0.0023296335190631603,53.09255939722061,0.04906249791383743,0.014845580134230355,14.356931805610657,0.2786729037761688,0.09266766905784607,0.3713405728340149,True,0.0617236328125,,,0.04906249791383743,0.035835772486353924,0.18782579898834229,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_progress/seed_10/masks/operation_v3_edit_mask.png,1.0,172.43325805664062,0.042883098125457764,29.12256622314453,support_v3_controller_progress,,0.04585571587085724,14.105045795440674,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_progress/seed_10/result.png,dog_sunglasses/support_v3_controller_progress/seed_10,50.503497547935694,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05461861938238144,A front-facing portrait of a dog in snow.,0.10330930427649931,0.901687698293258,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9306481604774793,1.0000000099341075,0.9306481381257375,-0.4292268194258213,-0.003032770449256835,61.49294022719065,0.04906249791383743,0.014774306750041433,14.33333977063497,0.25985315442085266,0.10065054893493652,0.3605037033557892,True,0.0617236328125,,,0.04906249791383743,0.04058223241832134,0.18273550271987915,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,1.0,172.43325805664062,0.042883098125457764,29.12256622314453,support_v3_controller_rmsgap,,0.045777298510074615,14.105045795440674,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_10/result.png,dog_sunglasses/support_v3_controller_rmsgap/seed_10,54.893409098964185,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05423085018992424,A front-facing portrait of a dog in snow.,0.1022896093841783,0.9034068757685725,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9305738930900892,1.0000000273187954,0.930573915441831,-0.3887727788339059,-0.0036013970675412565,60.16921091079712,0.04906249791383743,0.015534989467899626,10.537561098734537,0.26216062903404236,0.09832444787025452,0.3604850769042969,True,0.0617236328125,,,0.04906249791383743,0.03520291116209161,0.1826533079147339,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_10/masks/operation_v3_edit_mask.png,1.0,172.43325805664062,0.042883098125457764,17.974136352539062,support_v3_fixed,,0.04582487419247627,14.10192060470581,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_10/result.png,dog_sunglasses/support_v3_fixed/seed_10,56.22531503601931,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.0542704202234745,A front-facing portrait of a dog in snow.,0.1020198391817957,0.9038029542465928,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9289439469575882,1.0000000074505806,0.9289439370234808,-0.42933884263038635,0.0004490299634198891,39.45412468910217,0.0368303582072258,0.00746987019374501,19.464442014694214,0.32174164056777954,0.04371026158332825,0.3654519021511078,True,0.04050409226190476,,,0.0368303582072258,0.00014351320321469576,0.07698103785514832,outputs/pretty_matrix/mug_heart/support_v3_controller_hybrid/seed_10/masks/operation_v3_edit_mask.png,1.0,162.45498657226562,0.015341784805059433,26.783985137939453,support_v3_controller_hybrid,,0.0077593824826180935,13.3795804977417,outputs/pretty_matrix/mug_heart/support_v3_controller_hybrid/seed_10/result.png,mug_heart/support_v3_controller_hybrid/seed_10,50.69931375491433,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.010563141666352749,A minimalist photo of a plain white ceramic mug on a grey background.,0.042223000766595464,0.8661151328717988,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
1.0,0.9271452873945236,1.0000000298023224,0.927145299812158,-0.43191413084665936,0.00036069787817420246,34.01475481192271,0.0368303582072258,0.007532377465395257,19.61740207672119,0.3189655840396881,0.043741971254348755,0.36270755529403687,True,0.04050409226190476,,,0.0368303582072258,0.0002870264064293915,0.08322621136903763,outputs/pretty_matrix/mug_heart/support_v3_controller_progress/seed_10/masks/operation_v3_edit_mask.png,1.0,141.43399047851562,0.015341784805059433,26.783985137939453,support_v3_controller_progress,,0.00795943196862936,13.379560470581055,outputs/pretty_matrix/mug_heart/support_v3_controller_progress/seed_10/result.png,mug_heart/support_v3_controller_progress/seed_10,55.08052538195625,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.011008043773472309,A minimalist photo of a plain white ceramic mug on a grey background.,0.04453967081727471,0.8508286211263482,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
