base_method,clip_target_minus_source_max,clip_target_minus_source_mean,clip_target_minus_source_min,edit_scale,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,local_clip_target_minus_source_max,local_clip_target_minus_source_mean,local_clip_target_minus_source_min,lpips_full_max,lpips_full_mean,lpips_full_min,lpips_outside_max,lpips_outside_mean,lpips_outside_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_controller_rmsgap,0.10099665820598602,0.10094884534676869,0.10090482234954834,0.5,0.10972723364830017,0.10961938152710597,0.109420046210289,0.10564446449279785,0.10492551823457082,0.10402338206768036,0.09042636305093765,0.0903496965765953,0.09026769548654556,0.07653338462114334,0.07647784054279327,0.07641375809907913,3,0.05401065573096275,0.054007978489001594,0.054006557911634445,0.8773144921036791,0.8772914990975824,0.8772696004126964,0.12273039958730358,0.12270850090241762,0.12268550789632093,cat_crown
support_v3_controller_rmsgap,0.09581093490123749,0.09317195415496826,0.09125779569149017,0.75,0.12655244767665863,0.1264163057009379,0.12622393667697906,0.1195252537727356,0.11495812733968098,0.11185310781002045,0.0929756760597229,0.09291124592224757,0.09284240007400513,0.07761485129594803,0.07755188643932343,0.07751879841089249,3,0.05403268337249756,0.05402804041902224,0.05402559041976929,0.8756110239971173,0.8755625537753214,0.8755243082594315,0.1244756917405685,0.1244374462246786,0.12438897600288268,cat_crown
support_v3_controller_rmsgap,0.10331793129444122,0.10037438571453094,0.09578649699687958,1.0,0.1391288787126541,0.13671864569187164,0.13342833518981934,0.11379559338092804,0.11119613548119862,0.1077471375465393,0.09353743493556976,0.0933774933218956,0.09328673034906387,0.07801153510808945,0.07795030623674393,0.07791262865066528,3,0.0540507547557354,0.05404068777958552,0.054033514112234116,0.8745351436318385,0.8738844525026174,0.8734381646702263,0.12656183532977372,0.12611554749738274,0.12546485636816151,cat_crown
support_v3_controller_rmsgap,0.09593237936496735,0.09515601893266042,0.09434449672698975,1.25,0.16134053468704224,0.1609343190987905,0.16072097420692444,0.10947522521018982,0.10706054667631786,0.10493558645248413,0.09351824223995209,0.09348174184560776,0.09342136979103088,0.07790400832891464,0.07784446080525716,0.07781360298395157,3,0.054059598594903946,0.05405673633019129,0.05405307933688164,0.8699364713126734,0.869843068947425,0.8697337463290797,0.13026625367092026,0.1301569310525749,0.13006352868732662,cat_crown
support_v3_controller_rmsgap,0.0901220440864563,0.08884075284004211,0.08635357022285461,1.5,0.1978016197681427,0.19469405710697174,0.19304914772510529,0.11175182461738586,0.10980138182640076,0.10841198265552521,0.09760689735412598,0.09674173096815745,0.09622739255428314,0.07994474470615387,0.07976784308751424,0.07964663207530975,3,0.05475863441824913,0.054737978925307594,0.054714497178792953,0.8630789235722177,0.862480712187077,0.8613413504230267,0.13865864957697327,0.13751928781292308,0.13692107642778228,cat_crown
support_v3_controller_rmsgap,0.10100069642066956,0.09341072539488475,0.08001267910003662,2.0,0.26211434602737427,0.25401585300763446,0.23815536499023438,0.10135647654533386,0.0784195065498352,0.05742737650871277,0.101461261510849,0.1004562924305598,0.09982167184352875,0.08267825096845627,0.08235506465037663,0.08201864361763,3,0.055286917835474014,0.05523044988512993,0.05516262352466583,0.8548395224244709,0.8514576067320135,0.8487916936298495,0.15120830637015048,0.14854239326798643,0.14516047757552908,cat_crown
support_v3_fixed,0.09396199882030487,0.0936194509267807,0.09330563247203827,0.5,0.11532479524612427,0.11518261581659317,0.11503612995147705,0.11166428029537201,0.11135552326838176,0.11077478528022766,0.09275712072849274,0.09274465839068095,0.09273004531860352,0.07831940799951553,0.07830292731523514,0.07827933132648468,3,0.0538303479552269,0.053826080014308296,0.05382275581359863,0.8778244637106014,0.8777904350574884,0.8777696844063836,0.12223031559361641,0.12220956494251149,0.12217553628939859,cat_crown
support_v3_fixed,0.09287884831428528,0.09212968250115712,0.09148670732975006,0.75,0.1301681250333786,0.12983141342798868,0.1292055994272232,0.11269262433052063,0.11199331780274709,0.11099492013454437,0.09344882518053055,0.09333003560702006,0.09324517101049423,0.07801690697669983,0.07795943319797516,0.07792181521654129,3,0.053683750331401825,0.053677983582019806,0.05367448925971985,0.876130949040369,0.8760219666655722,0.8759265912016478,0.12407340879835216,0.12397803333442792,0.12386905095963097,cat_crown
support_v3_fixed,0.09226568043231964,0.09185947477817535,0.09151487052440643,1.0,0.16517572104930878,0.1647796332836151,0.16457082331180573,0.11365970969200134,0.11142729222774506,0.10912898182868958,0.09639384597539902,0.09625555574893951,0.09602492302656174,0.07815048098564148,0.07808329661687215,0.07802105695009232,3,0.05374688655138016,0.05373751372098923,0.05372963100671768,0.8718160322357468,0.8717232373162461,0.8715945530808371,0.1284054469191629,0.12827676268375385,0.12818396776425323,cat_crown
support_v3_fixed,0.09170293807983398,0.0903829534848531,0.08933296799659729,1.25,0.2058737576007843,0.20446293552716574,0.20236104726791382,0.1107378900051117,0.10059978564580281,0.08938413858413696,0.10632141679525375,0.106265589594841,0.10617788136005402,0.09010724723339081,0.08999883383512497,0.08991052955389023,3,0.055241659283638,0.055239610373973846,0.0552360974252224,0.8617431100085247,0.8615002057079226,0.8612208266808193,0.13877917331918066,0.13849979429207737,0.13825688999147534,cat_crown
