base_method,best_success_under_lpips_budget_0p0,best_success_under_lpips_budget_0p001,best_success_under_lpips_budget_0p002,best_success_under_lpips_budget_0p005,family,lpips_budget_0p0,lpips_budget_0p001,lpips_budget_0p002,lpips_budget_0p005,lpips_budget_eligible_0p0,lpips_budget_eligible_0p001,lpips_budget_eligible_0p002,lpips_budget_eligible_0p005,lpips_outside_baseline_budget,n,pareto_auc_lpips_outside,success_key,task
support_v3_fixed,0.1136597096920013,0.1136597096920013,0.1136597096920013,0.1136597096920013,edit_strength,0.07805910706520076,0.07905910706520076,0.08005910706520077,0.08305910706520077,4,9,9,9,0.07805910706520076,18,0.113558372857407,local_clip_target_minus_source,cat_crown
support_v3_controller_rmsgap,0.1195252537727356,0.1195252537727356,0.1195252537727356,0.1195252537727356,edit_strength,0.07805910706520076,0.07905910706520076,0.08005910706520077,0.08305910706520077,12,12,15,18,0.07805910706520076,18,0.1189644778816849,local_clip_target_minus_source,cat_crown
support_v3_fixed,0.1222858130931854,0.1222858130931854,0.1222858130931854,0.1222858130931854,support_perturb,0.07805910706520076,0.07905910706520076,0.08005910706520077,0.08305910706520077,6,9,9,9,0.07805910706520076,15,0.12409260932975255,local_clip_target_minus_source,cat_crown
support_v3_controller_rmsgap,0.1246915906667709,0.1246915906667709,0.1246915906667709,0.1246915906667709,support_perturb,0.07805910706520076,0.07905910706520076,0.08005910706520077,0.08305910706520077,9,9,9,12,0.07805910706520076,15,0.12633241841926857,local_clip_target_minus_source,cat_crown
support_v3_fixed,0.1015217304229736,0.1015217304229736,0.1015217304229736,0.1015217304229736,edit_strength,0.11952425539493557,0.12052425539493557,0.12152425539493557,0.12452425539493557,8,15,18,18,0.11952425539493557,18,0.10141282376482566,local_clip_target_minus_source,dog_sunglasses
support_v3_controller_rmsgap,0.1000468134880065,0.1000468134880065,0.1000468134880065,0.1000468134880065,edit_strength,0.11952425539493557,0.12052425539493557,0.12152425539493557,0.12452425539493557,18,18,18,18,0.11952425539493557,18,0.0994533402507177,local_clip_target_minus_source,dog_sunglasses
support_v3_fixed,0.0999167263507843,0.0999167263507843,0.0999167263507843,0.0999167263507843,support_perturb,0.11952425539493557,0.12052425539493557,0.12152425539493557,0.12452425539493557,8,9,9,12,0.11952425539493557,15,0.09821674782959301,local_clip_target_minus_source,dog_sunglasses
support_v3_controller_rmsgap,0.0967528223991394,0.0967528223991394,0.0967528223991394,0.0967528223991394,support_perturb,0.11952425539493557,0.12052425539493557,0.12152425539493557,0.12452425539493557,10,12,12,12,0.11952425539493557,15,0.09609601006722673,local_clip_target_minus_source,dog_sunglasses
support_v3_fixed,0.0630292296409607,0.0630292296409607,0.0630292296409607,0.0630292296409607,edit_strength,0.054420948028564405,0.055420948028564405,0.056420948028564406,0.0594209480285644,6,6,7,9,0.054420948028564405,18,0.0630292296409607,local_clip_target_minus_source,mug_heart
support_v3_controller_rmsgap,0.0645877718925476,0.0645877718925476,0.0645877718925476,0.0645877718925476,edit_strength,0.054420948028564405,0.055420948028564405,0.056420948028564406,0.0594209480285644,9,9,9,9,0.054420948028564405,18,0.06458741503667094,local_clip_target_minus_source,mug_heart
support_v3_fixed,0.0708214342594146,0.0708214342594146,0.0708214342594146,0.0708214342594146,support_perturb,0.054420948028564405,0.055420948028564405,0.056420948028564406,0.0594209480285644,12,12,12,12,0.054420948028564405,15,0.07082142169614729,local_clip_target_minus_source,mug_heart
support_v3_controller_rmsgap,0.070930540561676,0.070930540561676,0.070930540561676,0.070930540561676,support_perturb,0.054420948028564405,0.055420948028564405,0.056420948028564406,0.0594209480285644,12,12,12,12,0.054420948028564405,15,0.07093030997772258,local_clip_target_minus_source,mug_heart
