condition,delta_inside_mask_l1,delta_local_clip_target_minus_source,delta_lpips_outside,delta_outside_mask_l1,delta_source_ssim_luma,delta_ssim_loss,family,seed,task
050,-0.00530889630317688,-0.007604122161865234,-0.0018962845206260681,0.00018380209803581238,-0.000554863297904995,0.000554863297904995,edit_strength,10,cat_crown
050,-0.005476057529449463,-0.006019815802574158,-0.0017459467053413391,0.00018158555030822754,-0.00048675227910888186,0.00048675227910888186,edit_strength,11,cat_crown
050,-0.005904749035835266,-0.005666077136993408,-0.0018330290913581848,0.0001803077757358551,-0.00045519230270452127,0.00045519230270452127,edit_strength,12,cat_crown
075,-0.0036955922842025757,0.007232844829559326,-0.0004207789897918701,0.0003511011600494385,-0.0004840514952678676,0.0004840514952678676,edit_strength,10,cat_crown
075,-0.003896579146385193,0.0008033961057662964,-0.0003069639205932617,0.00035013630986213684,-0.0003742621322324613,0.0003742621322324613,edit_strength,11,cat_crown
075,-0.002653151750564575,0.0008581876754760742,-0.0004948973655700684,0.00034893304109573364,-0.0005199250432517122,0.0005199250432517122,edit_strength,12,cat_crown
100,-0.026972100138664246,-0.0013818442821502686,-0.0002378523349761963,0.00029090791940689087,0.001920922573632411,-0.001920922573632411,edit_strength,10,cat_crown
100,-0.026046842336654663,-0.0016140341758728027,-9.430199861526489e-05,0.00032112374901771545,0.0018436115893891714,-0.0018436115893891714,edit_strength,11,cat_crown
100,-0.0311640202999115,0.002302408218383789,-6.681680679321289e-05,0.00029749050736427307,0.0027191113960917113,-0.0027191113960917113,edit_strength,12,cat_crown
125,-0.04515278339385986,0.007797896862030029,-0.012094758450984955,-0.001176498830318451,0.008512919648260397,-0.008512919648260397,edit_strength,10,cat_crown
125,-0.043813467025756836,-0.0058023035526275635,-0.01207471638917923,-0.0011835433542728424,0.008322308766098296,-0.008322308766098296,edit_strength,11,cat_crown
125,-0.04161959886550903,0.01738668978214264,-0.01229364424943924,-0.001188579946756363,0.008193361304148716,-0.008193361304148716,edit_strength,12,cat_crown
150,-0.053467243909835815,0.051634833216667175,-0.01207028329372406,-0.0006200820207595825,0.0063839369765524845,-0.0063839369765524845,edit_strength,10,cat_crown
150,-0.05120508372783661,0.02973337471485138,-0.011788107454776764,-0.0005910620093345642,0.006467042284122093,-0.006467042284122093,edit_strength,11,cat_crown
150,-0.0487382709980011,0.03655336797237396,-0.011945299804210663,-0.0006043538451194763,0.0046903823369329745,-0.0046903823369329745,edit_strength,12,cat_crown
200,0.01984870433807373,-0.03895924985408783,-0.00885094702243805,-0.00018831714987754822,-0.0062637906448888,0.0062637906448888,edit_strength,10,cat_crown
200,0.027706250548362732,-0.009354695677757263,-0.008828386664390564,-0.00015551596879959106,-0.005899975127067747,0.005899975127067747,edit_strength,11,cat_crown
200,0.003636568784713745,-0.03270970284938812,-0.008697010576725006,-0.00012123584747314453,-0.0015889176419605633,0.0015889176419605633,edit_strength,12,cat_crown
boundary_noise,-0.02653089165687561,0.0025126636028289795,-0.0001938939094543457,0.00032041221857070923,0.0018609118112649092,-0.0018609118112649092,support_perturb,10,cat_crown
boundary_noise,-0.025961115956306458,-0.0023538917303085327,-0.0004154518246650696,0.000306103378534317,0.0020975953975955752,-0.0020975953975955752,support_perturb,11,cat_crown
boundary_noise,-0.029598310589790344,0.0048522502183914185,-0.00031091272830963135,0.0002628937363624573,0.0027456317914648087,-0.0027456317914648087,support_perturb,12,cat_crown
