base_method,best_success_under_joint_budget,best_success_under_outside_budget,best_success_under_ssim_budget,family,joint_budget_eligible,n,outside_budget,outside_budget_eligible,pareto_auc_outside,pareto_auc_ssim_loss,ssim_budget_eligible,ssim_loss_budget,success_key,task
support_v3_fixed,0.11365970969200134,0.11365970969200134,0.11365970969200134,edit_strength,9,18,0.05474404042959213,9,0.11364160582956688,0.11339133749887058,9,0.13042038880797033,local_clip_target_minus_source,cat_crown
support_v3_controller_rmsgap,0.1195252537727356,0.1195252537727356,0.1195252537727356,edit_strength,12,18,0.05474404042959213,14,0.1164633278158236,0.11861794175206336,12,0.13042038880797033,local_clip_target_minus_source,cat_crown
support_v3_fixed,0.12228581309318542,0.12228581309318542,0.12228581309318542,support_perturb,9,15,0.05474404042959213,10,0.12482563955026364,0.12514580053848137,9,0.13042038880797033,local_clip_target_minus_source,cat_crown
support_v3_controller_rmsgap,0.12469159066677094,0.12469159066677094,0.12469159066677094,support_perturb,12,15,0.05474404042959213,12,0.12598604566955612,0.12597687794364779,12,0.13042038880797033,local_clip_target_minus_source,cat_crown
support_v3_fixed,0.10152173042297363,0.10152173042297363,0.10152173042297363,edit_strength,12,18,0.046829238990942636,18,0.10152173042297363,0.10152173042297363,12,0.09843711702624298,local_clip_target_minus_source,dog_sunglasses
support_v3_controller_rmsgap,0.0988357663154602,0.10004681348800659,0.0988357663154602,edit_strength,15,18,0.046829238990942636,18,0.09877444353847217,0.09890675458426978,15,0.09843711702624298,local_clip_target_minus_source,dog_sunglasses
support_v3_fixed,0.0999167263507843,0.0999167263507843,0.0999167263507843,support_perturb,9,15,0.046829238990942636,12,0.09929163522279962,0.09830458343522123,9,0.09843711702624298,local_clip_target_minus_source,dog_sunglasses
support_v3_controller_rmsgap,0.0967528223991394,0.0967528223991394,0.0967528223991394,support_perturb,9,15,0.046829238990942636,13,0.09621695817595963,0.0952877024148808,9,0.09843711702624298,local_clip_target_minus_source,dog_sunglasses
support_v3_fixed,0.0630292296409607,0.0630292296409607,0.0630292296409607,edit_strength,9,18,0.008799963777263959,18,0.06302922964096068,0.0630292296409607,9,0.13733742147725903,local_clip_target_minus_source,mug_heart
support_v3_controller_rmsgap,0.06458777189254761,0.06458777189254761,0.06458777189254761,edit_strength,9,18,0.008799963777263959,18,0.06458544761402794,0.06458620140959344,9,0.13733742147725903,local_clip_target_minus_source,mug_heart
support_v3_fixed,0.07082143425941467,0.07082143425941467,0.07082143425941467,support_perturb,9,15,0.008799963777263959,9,0.07082143375278172,0.07082139237269794,12,0.13733742147725903,local_clip_target_minus_source,mug_heart
support_v3_controller_rmsgap,0.07093054056167603,0.07093054056167603,0.07093054056167603,support_perturb,12,15,0.008799963777263959,12,0.07093016574590516,0.07093054056167603,12,0.13733742147725903,local_clip_target_minus_source,mug_heart
