base_method,clip_source_score,clip_target_minus_source,clip_target_score,complete,condition,edit_scale,eval_mask_area,family,final_mask_area,inside_mask_l1,local_clip_source_score,local_clip_target_minus_source,local_clip_target_score,local_crop_box,lpips_full,lpips_outside,mask_path,method,missing,outside_mask_l1,perturbation,result_image,runtime_seconds,seed,source_image,source_l1,source_prompt,source_ssim_luma,ssim_loss,target_prompt,task
support_v3_controller_rmsgap,0.2416345626115799,0.09784956276416779,0.3394841253757477,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.1373361349105835,0.17848296463489532,0.1131744533777237,0.291657418012619,"162,0,342,102",0.09369663894176483,0.07790690660476685,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.0540444441139698,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,50.421306415926665,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05698235332965851,A photo of a cat sitting in grass.,0.8737736827841852,0.1262263172158148,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.23982372879981995,0.102425217628479,0.34224894642829895,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.13359226286411285,0.18450215458869934,0.11543282866477966,0.299934983253479,"162,0,342,102",0.09353519976139069,0.07810770720243454,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.05404279753565788,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,55.334945684997365,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.056848712265491486,A photo of a cat sitting in grass.,0.8744053716664747,0.1255946283335253,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24009056389331818,0.09811566770076752,0.3382062315940857,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.13705672323703766,0.17896875739097595,0.11346057057380676,0.2924293279647827,"162,0,342,102",0.09360884130001068,0.07805907726287842,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.05404631420969963,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/result.png,54.47010108397808,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05697430670261383,A photo of a cat sitting in grass.,0.8738510422243916,0.12614895777560842,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.2429143786430359,0.10094505548477173,0.3438594341278076,True,050,0.5,0.03527250744047619,edit_strength,0.02566964365541935,0.10972723364830017,0.18963827192783356,0.10402338206768036,0.2936616539955139,"162,0,342,102",0.09026769548654556,0.07641375809907913,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit050,,0.054006557911634445,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_10/result.png,50.74774376198184,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.055971965193748474,A photo of a cat sitting in grass.,0.8772696004126964,0.12273039958730358,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24306388199329376,0.10099665820598602,0.3440605401992798,True,050,0.5,0.03527250744047619,edit_strength,0.02566964365541935,0.10971086472272873,0.1891888678073883,0.10564446449279785,0.29483333230018616,"162,0,342,102",0.09042636305093765,0.07653338462114334,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit050,,0.05400672182440758,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_11/result.png,66.3607688730117,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05597153678536415,A photo of a cat sitting in grass.,0.8772904047763717,0.12270959522362834,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24303877353668213,0.10090482234954834,0.34394359588623047,True,050,0.5,0.03527250744047619,edit_strength,0.02566964365541935,0.109420046210289,0.188385009765625,0.10510870814323425,0.29349371790885925,"162,0,342,102",0.0903550311923027,0.07648637890815735,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit050,,0.05401065573096275,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_12/result.png,62.56085989496205,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05596508830785751,A photo of a cat sitting in grass.,0.8773144921036791,0.12268550789632093,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24422307312488556,0.09125779569149017,0.33548086881637573,True,075,0.75,0.03527250744047619,edit_strength,0.02566964365541935,0.12647253274917603,0.1738550066947937,0.1195252537727356,0.2933802604675293,"162,0,342,102",0.09284240007400513,0.07751879841089249,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit075,,0.05402559041976929,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_10/result.png,50.45729534304701,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05658097192645073,A photo of a cat sitting in grass.,0.8755243082594315,0.1244756917405685,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24428671598434448,0.09244713187217712,0.3367338478565216,True,075,0.75,0.03527250744047619,edit_strength,0.02566964365541935,0.12622393667697906,0.17944900691509247,0.11349602043628693,0.2929450273513794,"162,0,342,102",0.0929756760597229,0.07761485129594803,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit075,,0.05402584746479988,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_11/result.png,63.47382666391786,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05657245218753815,A photo of a cat sitting in grass.,0.8755523290694154,0.12444767093058462,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24315787851810455,0.09581093490123749,0.33896881341934204,True,075,0.75,0.03527250744047619,edit_strength,0.02566964365541935,0.12655244767665863,0.1772058755159378,0.11185310781002045,0.28905898332595825,"162,0,342,102",0.09291566163301468,0.07752200961112976,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit075,,0.05403268337249756,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_12/result.png,63.4410862979712,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05659063532948494,A photo of a cat sitting in grass.,0.8756110239971173,0.12438897600288268,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.2389279156923294,0.10331793129444122,0.34224584698677063,True,100,1.0,0.03527250744047619,edit_strength,0.02566964365541935,0.13759872317314148,0.18075832724571228,0.1077471375465393,0.2885054647922516,"162,0,342,102",0.09328673034906387,0.07791262865066528,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit100,,0.05403779447078705,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_10/result.png,48.68899458600208,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05698518827557564,A photo of a cat sitting in grass.,0.873680049205787,0.126319950794213,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
