base_method,clip_target_minus_source_max,clip_target_minus_source_mean,clip_target_minus_source_min,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,local_clip_target_minus_source_max,local_clip_target_minus_source_mean,local_clip_target_minus_source_min,lpips_full_max,lpips_full_mean,lpips_full_min,lpips_outside_max,lpips_outside_mean,lpips_outside_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,perturbation,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_controller_rmsgap,0.10063771903514862,0.09878982106844585,0.09697085618972778,0.13710755109786987,0.13604013125101724,0.13412544131278992,0.11536414921283722,0.11253149807453156,0.1103072464466095,0.09360598027706146,0.09330296516418457,0.0927647054195404,0.07784746587276459,0.07778284698724747,0.07765562832355499,3,0.0540602020919323,0.05404192705949148,0.0540248304605484,boundary_noise,0.8744243606667133,0.8739129038095504,0.8734123218258026,0.12658767817419736,0.12608709619044958,0.12557563933328675,cat_crown
support_v3_controller_rmsgap,0.10217466950416565,0.10125569999217987,0.10058662295341492,0.27814289927482605,0.2762125035127004,0.2739240527153015,0.12820430099964142,0.12752692898114523,0.1268632709980011,0.12161911278963089,0.12120926876862843,0.12095716595649719,0.10867509990930557,0.10839200764894485,0.10821458697319031,3,0.058389823883771896,0.05836187054713567,0.058342475444078445,dilate,0.8342248795962409,0.8336641593105115,0.8325833142486553,0.16741668575134472,0.1663358406894885,0.16577512040375908,cat_crown
support_v3_controller_rmsgap,0.09583993256092072,0.0955912321805954,0.09518538415431976,0.11461002379655838,0.11401301622390747,0.11296785622835159,0.12469159066677094,0.123689666390419,0.12262015044689178,0.08964158594608307,0.08951998502016068,0.08935804665088654,0.07501225918531418,0.0749857301513354,0.07496501505374908,3,0.05382125452160835,0.05382097388307253,0.05382067337632179,erode,0.8773051233602578,0.8772338247262619,0.8771822678365945,0.12281773216340552,0.12276617527373816,0.12269487663974221,cat_crown
support_v3_controller_rmsgap,0.10101936757564545,0.09806486467520396,0.09557543694972992,0.13072369992733002,0.12908116479714712,0.1281319260597229,0.1161310076713562,0.11284981667995453,0.10853791236877441,0.09309881180524826,0.09260262300570805,0.09194739907979965,0.07777757197618484,0.07704247037569682,0.07586008310317993,3,0.05404748395085335,0.05402154972155889,0.05400353670120239,holes,0.87557303817018,0.8750181020638058,0.8745016337704922,0.12549836622950783,0.12498189793619412,0.12442696182982005,cat_crown
support_v3_controller_rmsgap,0.10586699843406677,0.10566923022270203,0.10538852214813232,0.14644701778888702,0.14509997268517813,0.14411699771881104,0.119701087474823,0.11935332417488098,0.11906509101390839,0.09473922848701477,0.09446193526188533,0.09421458095312119,0.080330491065979,0.0803197870651881,0.08030686527490616,3,0.05462975800037384,0.054624736309051514,0.05461646988987923,shift,0.8713849784244375,0.8711963016746709,0.8710326777808974,0.12896732221910256,0.1288036983253291,0.12861502157556248,cat_crown
support_v3_fixed,0.09192530810832977,0.09093159437179565,0.0900793969631195,0.16670586168766022,0.16340357065200806,0.16008655726909637,0.11266113817691803,0.11086115737756093,0.10941043496131897,0.09637750685214996,0.09550491720438004,0.0949644073843956,0.07815635949373245,0.07808959980805714,0.07804135978221893,3,0.05377785488963127,0.05374545728166898,0.053718727082014084,boundary_noise,0.8723267652691177,0.8716781908094419,0.8711563971446705,0.12884360285532948,0.12832180919055802,0.12767323473088232,cat_crown
support_v3_fixed,0.10226792097091675,0.1008041650056839,0.09893201291561127,0.2811383903026581,0.2776641845703125,0.27339714765548706,0.12906207144260406,0.12830099960168204,0.12778085470199585,0.12862762808799744,0.1281599005063375,0.12757036089897156,0.11635740101337433,0.11599601556857426,0.11580716818571091,3,0.058856233954429626,0.05877064044276873,0.05870548635721207,dilate,0.8381463429563952,0.836491914526622,0.8338396707296213,0.16616032927037871,0.16350808547337814,0.16185365704360477,cat_crown
support_v3_fixed,0.09287182986736298,0.09203698734442393,0.09130388498306274,0.12057487666606903,0.1197663942972819,0.11874765902757645,0.12228581309318542,0.12062744796276093,0.11863286793231964,0.09170761704444885,0.09134749074776967,0.09078729152679443,0.07684408128261566,0.07677304744720459,0.07670240104198456,3,0.053694404661655426,0.05368465557694435,0.053679708391427994,erode,0.8774613781714757,0.8773283613588109,0.8772495973848256,0.12275040261517445,0.12267163864118909,0.12253862182852426,cat_crown
support_v3_fixed,0.09384627640247345,0.09223501880963643,0.09052994847297668,0.1373477578163147,0.13691439727942148,0.13610023260116577,0.11015704274177551,0.10606594880421956,0.10092626512050629,0.09536315500736237,0.09412516405185063,0.09341993182897568,0.0780700296163559,0.07707690447568893,0.075880266726017,3,0.05369960889220238,0.05368128543098768,0.053666189312934875,holes,0.8761388587645575,0.875259455895803,0.8748050767986489,0.12519492320135106,0.12474054410419695,0.12386114123544245,cat_crown
support_v3_fixed,0.10912203788757324,0.10893291731675465,0.10866904258728027,0.1590021252632141,0.15862707297007242,0.15843039751052856,0.119908407330513,0.11772803962230682,0.11597764492034912,0.10126415640115738,0.09985306859016418,0.09895583242177963,0.08841418474912643,0.08756244679292043,0.08705046772956848,3,0.05504774674773216,0.054865711679061256,0.05473805218935013,shift,0.8666476658480673,0.8658323069964968,0.8649806155846361,0.13501938441536387,0.13416769300350317,0.1333523341519327,cat_crown
