base_method,edit_scale,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_controller_rmsgap,0.5,0.10972723364830017,0.10972723364830017,0.10972723364830017,1,0.054006557911634445,0.054006557911634445,0.054006557911634445,0.8772696004126964,0.8772696004126964,0.8772696004126964,0.12273039958730358,0.12273039958730358,0.12273039958730358,cat_crown
support_v3_controller_rmsgap,0.75,0.12647253274917603,0.12647253274917603,0.12647253274917603,1,0.05402559041976929,0.05402559041976929,0.05402559041976929,0.8755243082594315,0.8755243082594315,0.8755243082594315,0.1244756917405685,0.1244756917405685,0.1244756917405685,cat_crown
support_v3_controller_rmsgap,1.0,0.13759872317314148,0.13759872317314148,0.13759872317314148,1,0.05403779447078705,0.05403779447078705,0.05403779447078705,0.873680049205787,0.873680049205787,0.873680049205787,0.126319950794213,0.126319950794213,0.126319950794213,cat_crown
support_v3_controller_rmsgap,1.25,0.16072097420692444,0.16072097420692444,0.16072097420692444,1,0.054059598594903946,0.054059598594903946,0.054059598594903946,0.8697337463290797,0.8697337463290797,0.8697337463290797,0.13026625367092026,0.13026625367092026,0.13026625367092026,cat_crown
support_v3_controller_rmsgap,1.5,0.19304914772510529,0.19304914772510529,0.19304914772510529,1,0.054714497178792953,0.054714497178792953,0.054714497178792953,0.8630789235722177,0.8630789235722177,0.8630789235722177,0.13692107642778228,0.13692107642778228,0.13692107642778228,cat_crown
support_v3_fixed,0.5,0.11503612995147705,0.11503612995147705,0.11503612995147705,1,0.05382275581359863,0.05382275581359863,0.05382275581359863,0.8778244637106014,0.8778244637106014,0.8778244637106014,0.12217553628939859,0.12217553628939859,0.12217553628939859,cat_crown
support_v3_fixed,0.75,0.1301681250333786,0.1301681250333786,0.1301681250333786,1,0.05367448925971985,0.05367448925971985,0.05367448925971985,0.8760083597546994,0.8760083597546994,0.8760083597546994,0.12399164024530063,0.12399164024530063,0.12399164024530063,cat_crown
support_v3_fixed,1.0,0.16457082331180573,0.16457082331180573,0.16457082331180573,1,0.05374688655138016,0.05374688655138016,0.05374688655138016,0.8717591266321546,0.8717591266321546,0.8717591266321546,0.1282408733678454,0.1282408733678454,0.1282408733678454,cat_crown
support_v3_fixed,1.25,0.2058737576007843,0.2058737576007843,0.2058737576007843,1,0.0552360974252224,0.0552360974252224,0.0552360974252224,0.8612208266808193,0.8612208266808193,0.8612208266808193,0.13877917331918066,0.13877917331918066,0.13877917331918066,cat_crown
support_v3_fixed,1.5,0.2465163916349411,0.2465163916349411,0.2465163916349411,1,0.055334579199552536,0.055334579199552536,0.055334579199552536,0.8566949865956652,0.8566949865956652,0.8566949865956652,0.14330501340433477,0.14330501340433477,0.14330501340433477,cat_crown
support_v3_controller_rmsgap,0.5,0.05583639442920685,0.05583639442920685,0.05583639442920685,1,0.007435895036906004,0.007435895036906004,0.007435895036906004,0.9054354147041866,0.9054354147041866,0.9054354147041866,0.09456458529581335,0.09456458529581335,0.09456458529581335,mug_heart
support_v3_controller_rmsgap,0.75,0.06879272311925888,0.06879272311925888,0.06879272311925888,1,0.007504134904593229,0.007504134904593229,0.007504134904593229,0.8796881900405352,0.8796881900405352,0.8796881900405352,0.12031180995946478,0.12031180995946478,0.12031180995946478,mug_heart
support_v3_controller_rmsgap,1.0,0.07648108899593353,0.07648108899593353,0.07648108899593353,1,0.00771446293219924,0.00771446293219924,0.00771446293219924,0.8679553536852896,0.8679553536852896,0.8679553536852896,0.13204464631471036,0.13204464631471036,0.13204464631471036,mug_heart
support_v3_controller_rmsgap,1.25,0.08181320875883102,0.08181320875883102,0.08181320875883102,1,0.00785684585571289,0.00785684585571289,0.00785684585571289,0.8561312220586182,0.8561312220586182,0.8561312220586182,0.14386877794138175,0.14386877794138175,0.14386877794138175,mug_heart
support_v3_controller_rmsgap,1.5,0.08468160778284073,0.08468160778284073,0.08468160778284073,1,0.00805645901709795,0.00805645901709795,0.00805645901709795,0.8522048095068195,0.8522048095068195,0.8522048095068195,0.14779519049318046,0.14779519049318046,0.14779519049318046,mug_heart
support_v3_fixed,0.5,0.05911805480718613,0.05911805480718613,0.05911805480718613,1,0.007531228009611368,0.007531228009611368,0.007531228009611368,0.9034010593051056,0.9034010593051056,0.9034010593051056,0.09659894069489439,0.09659894069489439,0.09659894069489439,mug_heart
support_v3_fixed,0.75,0.07120505720376968,0.07120505720376968,0.07120505720376968,1,0.0076180631294846535,0.0076180631294846535,0.0076180631294846535,0.8775933403241583,0.8775933403241583,0.8775933403241583,0.12240665967584174,0.12240665967584174,0.12240665967584174,mug_heart
support_v3_fixed,1.0,0.07819762080907822,0.07819762080907822,0.07819762080907822,1,0.00781150721013546,0.00781150721013546,0.00781150721013546,0.8643264235489483,0.8643264235489483,0.8643264235489483,0.13567357645105171,0.13567357645105171,0.13567357645105171,mug_heart
support_v3_fixed,1.25,0.0827375128865242,0.0827375128865242,0.0827375128865242,1,0.007879113778471947,0.007879113778471947,0.007879113778471947,0.853479644480844,0.853479644480844,0.853479644480844,0.146520355519156,0.146520355519156,0.146520355519156,mug_heart
support_v3_fixed,1.5,0.0855925902724266,0.0855925902724266,0.0855925902724266,1,0.008052198216319084,0.008052198216319084,0.008052198216319084,0.8497204424430814,0.8497204424430814,0.8497204424430814,0.15027955755691857,0.15027955755691857,0.15027955755691857,mug_heart
