base_method,complete,condition,edit_scale,eval_mask_area,family,final_mask_area,inside_mask_l1,mask_path,method,missing,outside_mask_l1,perturbation,result_image,runtime_seconds,seed,source_image,source_l1,source_prompt,source_ssim_luma,ssim_loss,target_prompt,task
support_v3_controller_rmsgap,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.1373361349105835,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.0540444441139698,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,50.421306415926665,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05698235332965851,A photo of a cat sitting in grass.,0.8737736827841852,0.1262263172158148,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.13359226286411285,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.05404279753565788,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,55.334945684997365,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.056848712265491486,A photo of a cat sitting in grass.,0.8744053716664747,0.1255946283335253,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.13705672323703766,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.05404631420969963,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/result.png,54.47010108397808,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05697430670261383,A photo of a cat sitting in grass.,0.8738510422243916,0.12614895777560842,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,True,050,0.5,0.03527250744047619,edit_strength,0.02566964365541935,0.10972723364830017,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit050,,0.054006557911634445,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_10/result.png,50.74774376198184,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.055971965193748474,A photo of a cat sitting in grass.,0.8772696004126964,0.12273039958730358,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,True,075,0.75,0.03527250744047619,edit_strength,0.02566964365541935,0.12647253274917603,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit075,,0.05402559041976929,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_10/result.png,50.45729534304701,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05658097192645073,A photo of a cat sitting in grass.,0.8755243082594315,0.1244756917405685,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,True,100,1.0,0.03527250744047619,edit_strength,0.02566964365541935,0.13759872317314148,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit100,,0.05403779447078705,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_10/result.png,48.68899458600208,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05698518827557564,A photo of a cat sitting in grass.,0.873680049205787,0.126319950794213,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,True,125,1.25,0.03527250744047619,edit_strength,0.02566964365541935,0.16072097420692444,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit125,,0.054059598594903946,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_10/result.png,52.687522228923626,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05782182887196541,A photo of a cat sitting in grass.,0.8697337463290797,0.13026625367092026,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,True,150,1.5,0.03527250744047619,edit_strength,0.02566964365541935,0.19304914772510529,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit150,,0.054714497178792953,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_10/result.png,50.564293800038286,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05959390103816986,A photo of a cat sitting in grass.,0.8630789235722177,0.13692107642778228,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.16765719652175903,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.05376270413398743,,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/result.png,46.424099384923466,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.057780053466558456,A photo of a cat sitting in grass.,0.8714118792130315,0.12858812078696846,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.16551069915294647,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_11/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.05373867601156235,,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_11/result.png,54.49481540406123,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05768115818500519,A photo of a cat sitting in grass.,0.8716135073452734,0.12838649265472657,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
