base_method,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,perturbation,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_controller_rmsgap,0.18274761736392975,0.18274761736392975,0.18274761736392975,1,0.045729901641607285,0.045729901641607285,0.045729901641607285,boundary_noise,0.9035236312483882,0.9035236312483882,0.9035236312483882,0.09647636875161181,0.09647636875161181,0.09647636875161181,dog_sunglasses
support_v3_controller_rmsgap,0.22287112474441528,0.22287112474441528,0.22287112474441528,1,0.046657539904117584,0.046657539904117584,0.046657539904117584,dilate,0.8911312003245407,0.8911312003245407,0.8911312003245407,0.10886879967545926,0.10886879967545926,0.10886879967545926,dog_sunglasses
support_v3_controller_rmsgap,0.1491691619157791,0.1491691619157791,0.1491691619157791,1,0.045357562601566315,0.045357562601566315,0.045357562601566315,erode,0.913361899830925,0.913361899830925,0.913361899830925,0.08663810016907503,0.08663810016907503,0.08663810016907503,dog_sunglasses
support_v3_controller_rmsgap,0.1845971643924713,0.1845971643924713,0.1845971643924713,1,0.04573369771242142,0.04573369771242142,0.04573369771242142,holes,0.9028555500835441,0.9028555500835441,0.9028555500835441,0.09714444991645588,0.09714444991645588,0.09714444991645588,dog_sunglasses
support_v3_controller_rmsgap,0.1951518952846527,0.1951518952846527,0.1951518952846527,1,0.045940615236759186,0.045940615236759186,0.045940615236759186,shift,0.8990551473437266,0.8990551473437266,0.8990551473437266,0.1009448526562734,0.1009448526562734,0.1009448526562734,dog_sunglasses
support_v3_fixed,0.1825082153081894,0.1825082153081894,0.1825082153081894,1,0.04577721655368805,0.04577721655368805,0.04577721655368805,boundary_noise,0.9038758761431809,0.9038758761431809,0.9038758761431809,0.09612412385681912,0.09612412385681912,0.09612412385681912,dog_sunglasses
support_v3_fixed,0.22852075099945068,0.22852075099945068,0.22852075099945068,1,0.046901311725378036,0.046901311725378036,0.046901311725378036,dilate,0.8900728036943583,0.8900728036943583,0.8900728036943583,0.10992719630564174,0.10992719630564174,0.10992719630564174,dog_sunglasses
support_v3_fixed,0.15177379548549652,0.15177379548549652,0.15177379548549652,1,0.04540402442216873,0.04540402442216873,0.04540402442216873,erode,0.9129112359261371,0.9129112359261371,0.9129112359261371,0.0870887640738629,0.0870887640738629,0.0870887640738629,dog_sunglasses
support_v3_fixed,0.18620456755161285,0.18620456755161285,0.18620456755161285,1,0.04577823355793953,0.04577823355793953,0.04577823355793953,holes,0.9029242703679591,0.9029242703679591,0.9029242703679591,0.09707572963204092,0.09707572963204092,0.09707572963204092,dog_sunglasses
support_v3_fixed,0.19770100712776184,0.19770100712776184,0.19770100712776184,1,0.04606250301003456,0.04606250301003456,0.04606250301003456,shift,0.8990674147805431,0.8990674147805431,0.8990674147805431,0.10093258521945692,0.10093258521945692,0.10093258521945692,dog_sunglasses
support_v3_controller_rmsgap,0.07123920321464539,0.07123920321464539,0.07123920321464539,1,0.007616684306412935,0.007616684306412935,0.007616684306412935,boundary_noise,0.8774544707417752,0.8774544707417752,0.8774544707417752,0.12254552925822482,0.12254552925822482,0.12254552925822482,mug_heart
support_v3_controller_rmsgap,0.1063338965177536,0.1063338965177536,0.1063338965177536,1,0.010259201750159264,0.010259201750159264,0.010259201750159264,dilate,0.8174835206452614,0.8174835206452614,0.8174835206452614,0.18251647935473858,0.18251647935473858,0.18251647935473858,mug_heart
support_v3_controller_rmsgap,0.011536396108567715,0.011536396108567715,0.011536396108567715,1,0.006891729775816202,0.006891729775816202,0.006891729775816202,erode,0.9667998665019489,0.9667998665019489,0.9667998665019489,0.033200133498051065,0.033200133498051065,0.033200133498051065,mug_heart
support_v3_controller_rmsgap,0.07070735841989517,0.07070735841989517,0.07070735841989517,1,0.007540272548794746,0.007540272548794746,0.007540272548794746,holes,0.879410112704051,0.879410112704051,0.879410112704051,0.120589887295949,0.120589887295949,0.120589887295949,mug_heart
support_v3_controller_rmsgap,0.059262510389089584,0.059262510389089584,0.059262510389089584,1,0.008662126027047634,0.008662126027047634,0.008662126027047634,shift,0.8984597848857648,0.8984597848857648,0.8984597848857648,0.10154021511423517,0.10154021511423517,0.10154021511423517,mug_heart
support_v3_fixed,0.07305759936571121,0.07305759936571121,0.07305759936571121,1,0.007737177889794111,0.007737177889794111,0.007737177889794111,boundary_noise,0.8759082582496149,0.8759082582496149,0.8759082582496149,0.12409174175038507,0.12409174175038507,0.12409174175038507,mug_heart
support_v3_fixed,0.10649992525577545,0.10649992525577545,0.10649992525577545,1,0.010291368700563908,0.010291368700563908,0.010291368700563908,dilate,0.8181826514973765,0.8181826514973765,0.8181826514973765,0.18181734850262354,0.18181734850262354,0.18181734850262354,mug_heart
support_v3_fixed,0.011746132746338844,0.011746132746338844,0.011746132746338844,1,0.006889314390718937,0.006889314390718937,0.006889314390718937,erode,0.9663481767127806,0.9663481767127806,0.9663481767127806,0.033651823287219385,0.033651823287219385,0.033651823287219385,mug_heart
support_v3_fixed,0.07122419774532318,0.07122419774532318,0.07122419774532318,1,0.007624778430908918,0.007624778430908918,0.007624778430908918,holes,0.8813724130917783,0.8813724130917783,0.8813724130917783,0.11862758690822173,0.11862758690822173,0.11862758690822173,mug_heart
support_v3_fixed,0.06097059324383736,0.06097059324383736,0.06097059324383736,1,0.00880460161715746,0.00880460161715746,0.00880460161715746,shift,0.8965733089862243,0.8965733089862243,0.8965733089862243,0.10342669101377566,0.10342669101377566,0.10342669101377566,mug_heart
