condition,delta_inside_mask_l1,delta_local_clip_target_minus_source,delta_outside_mask_l1,delta_source_ssim_luma,delta_ssim_loss,family,seed,task
050,-0.00530889630317688,-0.007604122161865234,0.00018380209803581238,-0.000554863297904995,0.000554863297904995,edit_strength,10,cat_crown
075,-0.0036955922842025757,0.007232844829559326,0.0003511011600494385,-0.0004840514952678676,0.0004840514952678676,edit_strength,10,cat_crown
100,-0.026972100138664246,-0.0013818442821502686,0.00029090791940689087,0.001920922573632411,-0.001920922573632411,edit_strength,10,cat_crown
125,-0.04515278339385986,0.007797896862030029,-0.001176498830318451,0.008512919648260397,-0.008512919648260397,edit_strength,10,cat_crown
150,-0.053467243909835815,0.051634833216667175,-0.0006200820207595825,0.0063839369765524845,-0.0063839369765524845,edit_strength,10,cat_crown
boundary_noise,0.00023940205574035645,0.000628739595413208,-4.731491208076477e-05,-0.00035224489479268595,0.00035224489479268595,support_perturb,10,dog_sunglasses
dilate,-0.0056496262550354,-0.007169663906097412,-0.00024377182126045227,0.0010583966301824788,-0.0010583966301824788,support_perturb,10,dog_sunglasses
erode,-0.0026046335697174072,-0.002183258533477783,-4.646182060241699e-05,0.00045066390478787355,-0.00045066390478787355,support_perturb,10,dog_sunglasses
holes,-0.0016074031591415405,-0.007578670978546143,-4.453584551811218e-05,-6.872028441495814e-05,6.872028441495814e-05,support_perturb,10,dog_sunglasses
shift,-0.002549111843109131,-0.0036830008029937744,-0.00012188777327537537,-1.2267436816482125e-05,1.2267436816482125e-05,support_perturb,10,dog_sunglasses
050,-0.0032816603779792786,0.0020744800567626953,-9.533297270536423e-05,0.0020343553990810337,-0.0020343553990810337,edit_strength,10,mug_heart
075,-0.0024123340845108032,0.0011312365531921387,-0.00011392822489142418,0.0020948497163769675,-0.0020948497163769675,edit_strength,10,mug_heart
100,-0.0017165318131446838,0.0008209049701690674,-9.704427793622017e-05,0.0036289301363413573,-0.0036289301363413573,edit_strength,10,mug_heart
125,-0.0009243041276931763,-0.0006349682807922363,-2.226792275905609e-05,0.0026515775777742334,-0.0026515775777742334,edit_strength,10,mug_heart
150,-0.0009109824895858765,-0.0013817548751831055,4.260800778865814e-06,0.0024843670637381132,-0.0024843670637381132,edit_strength,10,mug_heart
boundary_noise,-0.0018183961510658264,0.0010779201984405518,-0.000120493583381176,0.0015462124921602483,-0.0015462124921602483,support_perturb,10,mug_heart
dilate,-0.00016602873802185059,0.0024200081825256348,-3.216695040464401e-05,-0.0006991308521150374,0.0006991308521150374,support_perturb,10,mug_heart
erode,-0.0002097366377711296,-0.0007165968418121338,2.4153850972652435e-06,0.00045168978916831914,-0.00045168978916831914,support_perturb,10,mug_heart
holes,-0.000516839325428009,0.0012263059616088867,-8.450588211417198e-05,-0.001962300387727267,0.001962300387727267,support_perturb,10,mug_heart
shift,-0.0017080828547477722,0.0013042092323303223,-0.00014247559010982513,0.0018864758995404962,-0.0018864758995404962,support_perturb,10,mug_heart
