base_method,clip_target_minus_source_max,clip_target_minus_source_mean,clip_target_minus_source_min,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,local_clip_target_minus_source_max,local_clip_target_minus_source_mean,local_clip_target_minus_source_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,perturbation,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_controller_rmsgap,0.09891891479492188,0.09891891479492188,0.09891891479492188,0.18274761736392975,0.18274761736392975,0.18274761736392975,0.0967528223991394,0.0967528223991394,0.0967528223991394,1,0.045729901641607285,0.045729901641607285,0.045729901641607285,boundary_noise,0.9035236312483882,0.9035236312483882,0.9035236312483882,0.09647636875161181,0.09647636875161181,0.09647636875161181,dog_sunglasses
support_v3_controller_rmsgap,0.09373453259468079,0.09373453259468079,0.09373453259468079,0.22287112474441528,0.22287112474441528,0.22287112474441528,0.08788827061653137,0.08788827061653137,0.08788827061653137,1,0.046657539904117584,0.046657539904117584,0.046657539904117584,dilate,0.8911312003245407,0.8911312003245407,0.8911312003245407,0.10886879967545926,0.10886879967545926,0.10886879967545926,dog_sunglasses
support_v3_controller_rmsgap,0.09520429372787476,0.09520429372787476,0.09520429372787476,0.1491691619157791,0.1491691619157791,0.1491691619157791,0.08900651335716248,0.08900651335716248,0.08900651335716248,1,0.045357562601566315,0.045357562601566315,0.045357562601566315,erode,0.913361899830925,0.913361899830925,0.913361899830925,0.08663810016907503,0.08663810016907503,0.08663810016907503,dog_sunglasses
support_v3_controller_rmsgap,0.0984717309474945,0.0984717309474945,0.0984717309474945,0.1845971643924713,0.1845971643924713,0.1845971643924713,0.09233805537223816,0.09233805537223816,0.09233805537223816,1,0.04573369771242142,0.04573369771242142,0.04573369771242142,holes,0.9028555500835441,0.9028555500835441,0.9028555500835441,0.09714444991645588,0.09714444991645588,0.09714444991645588,dog_sunglasses
support_v3_controller_rmsgap,0.0966290533542633,0.0966290533542633,0.0966290533542633,0.1951518952846527,0.1951518952846527,0.1951518952846527,0.08929142355918884,0.08929142355918884,0.08929142355918884,1,0.045940615236759186,0.045940615236759186,0.045940615236759186,shift,0.8990551473437266,0.8990551473437266,0.8990551473437266,0.1009448526562734,0.1009448526562734,0.1009448526562734,dog_sunglasses
support_v3_fixed,0.09845972061157227,0.09845972061157227,0.09845972061157227,0.1825082153081894,0.1825082153081894,0.1825082153081894,0.0961240828037262,0.0961240828037262,0.0961240828037262,1,0.04577721655368805,0.04577721655368805,0.04577721655368805,boundary_noise,0.9038758761431809,0.9038758761431809,0.9038758761431809,0.09612412385681912,0.09612412385681912,0.09612412385681912,dog_sunglasses
support_v3_fixed,0.09405851364135742,0.09405851364135742,0.09405851364135742,0.22852075099945068,0.22852075099945068,0.22852075099945068,0.09505793452262878,0.09505793452262878,0.09505793452262878,1,0.046901311725378036,0.046901311725378036,0.046901311725378036,dilate,0.8900728036943583,0.8900728036943583,0.8900728036943583,0.10992719630564174,0.10992719630564174,0.10992719630564174,dog_sunglasses
support_v3_fixed,0.09502139687538147,0.09502139687538147,0.09502139687538147,0.15177379548549652,0.15177379548549652,0.15177379548549652,0.09118977189064026,0.09118977189064026,0.09118977189064026,1,0.04540402442216873,0.04540402442216873,0.04540402442216873,erode,0.9129112359261371,0.9129112359261371,0.9129112359261371,0.0870887640738629,0.0870887640738629,0.0870887640738629,dog_sunglasses
support_v3_fixed,0.09810110926628113,0.09810110926628113,0.09810110926628113,0.18620456755161285,0.18620456755161285,0.18620456755161285,0.0999167263507843,0.0999167263507843,0.0999167263507843,1,0.04577823355793953,0.04577823355793953,0.04577823355793953,holes,0.9029242703679591,0.9029242703679591,0.9029242703679591,0.09707572963204092,0.09707572963204092,0.09707572963204092,dog_sunglasses
support_v3_fixed,0.09590020775794983,0.09590020775794983,0.09590020775794983,0.19770100712776184,0.19770100712776184,0.19770100712776184,0.09297442436218262,0.09297442436218262,0.09297442436218262,1,0.04606250301003456,0.04606250301003456,0.04606250301003456,shift,0.8990674147805431,0.8990674147805431,0.8990674147805431,0.10093258521945692,0.10093258521945692,0.10093258521945692,dog_sunglasses
support_v3_controller_rmsgap,0.045618683099746704,0.045618683099746704,0.045618683099746704,0.07123920321464539,0.07123920321464539,0.07123920321464539,0.061654120683670044,0.061654120683670044,0.061654120683670044,1,0.007616684306412935,0.007616684306412935,0.007616684306412935,boundary_noise,0.8774544707417752,0.8774544707417752,0.8774544707417752,0.12254552925822482,0.12254552925822482,0.12254552925822482,mug_heart
support_v3_controller_rmsgap,0.047397345304489136,0.047397345304489136,0.047397345304489136,0.1063338965177536,0.1063338965177536,0.1063338965177536,0.06056573987007141,0.06056573987007141,0.06056573987007141,1,0.010259201750159264,0.010259201750159264,0.010259201750159264,dilate,0.8174835206452614,0.8174835206452614,0.8174835206452614,0.18251647935473858,0.18251647935473858,0.18251647935473858,mug_heart
