task,perturbation,delta_clip_rmsgap_minus_fixed,delta_outside_l1_rmsgap_minus_fixed,delta_inside_l1_rmsgap_minus_fixed,delta_ssim_rmsgap_minus_fixed
dog_sunglasses,erode,0.00018289685249328613,-4.646182060241699e-05,-0.0026046335697174072,0.00045066390478787355
dog_sunglasses,dilate,-0.00032398104667663574,-0.00024377182126045227,-0.0056496262550354,0.0010583966301824788
dog_sunglasses,shift,0.0007288455963134766,-0.00012188777327537537,-0.002549111843109131,-1.2267436816482125e-05
dog_sunglasses,holes,0.0003706216812133789,-4.453584551811218e-05,-0.0016074031591415405,-6.872028441495814e-05
dog_sunglasses,boundary_noise,0.0004591941833496094,-4.731491208076477e-05,0.00023940205574035645,-0.00035224489479268595
mug_heart,erode,0.001620650291442871,2.4153850972652435e-06,-0.0002097366377711296,0.00045168978916831914
mug_heart,dilate,0.001002877950668335,-3.216695040464401e-05,-0.00016602873802185059,-0.0006991308521150374
mug_heart,shift,0.0009184479713439941,-0.00014247559010982513,-0.0017080828547477722,0.0018864758995404962
mug_heart,holes,-0.00018966197967529297,-8.450588211417198e-05,-0.000516839325428009,-0.001962300387727267
mug_heart,boundary_noise,0.0016241073608398438,-0.000120493583381176,-0.0018183961510658264,0.0015462124921602483
