task,method,paper_name,seed,edit_success_1_5,source_preservation_1_5,locality_1_5,artifact_severity_1_5,overall_1_5,failure_flag,result_image,review_grid,notes
backpack_remove_toy_charm,adaptive_full_generic_support,Generic support control,10,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,adaptive_full_generic_support,Generic support control,11,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,adaptive_full_generic_support,Generic support control,12,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,base_only,RF reconstruction / base reconstruction,10,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,base_only,RF reconstruction / base reconstruction,11,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,base_only,RF reconstruction / base reconstruction,12,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,direct_target,Direct target guidance,10,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,direct_target,Direct target guidance,11,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,direct_target,Direct target guidance,12,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,support_v3_controller_rmsgap,DeCE-RF,10,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,support_v3_controller_rmsgap,DeCE-RF,11,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,support_v3_controller_rmsgap,DeCE-RF,12,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
cat_crown,adaptive_full_generic_support,Generic support control,10,,,,,,,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
cat_crown,adaptive_full_generic_support,Generic support control,11,,,,,,,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
cat_crown,adaptive_full_generic_support,Generic support control,12,,,,,,,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
