task,method,paper_name,n,seeds,mask_source,fixed_eval_mask_area_mean,fixed_eval_mask_area_std,outside_mask_l1_mean,outside_mask_l1_std,inside_mask_l1_mean,inside_mask_l1_std,source_ssim_luma_mean,source_ssim_luma_std,dino_source_similarity_mean,dino_source_similarity_std,clip_target_minus_source_mean,clip_target_minus_source_std,inside_blue_ratio_mean,inside_blue_ratio_std
cat_crown,support_v3_fixed,Fixed DeCE displacement,3,10 11 12,fixed_eval_mask,0.0291,0.0000,0.0540,0.0000,0.1838,0.0025,0.6503,0.0002,0.9667,0.0002,0.0921,0.0007,0.0065,0.0019
cat_crown,support_v3_controller_rmsgap,DeCE-RF,3,10 11 12,fixed_eval_mask,0.0291,0.0000,0.0542,0.0000,0.1477,0.0034,0.6504,0.0001,0.9677,0.0002,0.1018,0.0014,0.0156,0.0023
dog_sunglasses,support_v3_fixed,Fixed DeCE displacement,3,10 11 12,fixed_eval_mask,0.1207,0.0000,0.0487,0.0001,0.1179,0.0003,0.6227,0.0002,0.9606,0.0003,0.0896,0.0005,0.1597,0.0017
dog_sunglasses,support_v3_controller_rmsgap,DeCE-RF,3,10 11 12,fixed_eval_mask,0.1207,0.0000,0.0488,0.0002,0.1192,0.0028,0.6236,0.0003,0.9592,0.0020,0.0842,0.0111,0.2181,0.0038
mug_heart,support_v3_fixed,Fixed DeCE displacement,3,10 11 12,fixed_eval_mask,0.0423,0.0000,0.0077,0.0000,0.0749,0.0003,0.9573,0.0000,0.8074,0.0001,0.0420,0.0002,0.0001,0.0000
mug_heart,support_v3_controller_rmsgap,DeCE-RF,3,10 11 12,fixed_eval_mask,0.0423,0.0000,0.0076,0.0001,0.0728,0.0012,0.9574,0.0002,0.8114,0.0006,0.0425,0.0006,0.0000,0.0000
tshirt_star,support_v3_fixed,Fixed DeCE displacement,3,10 11 12,fixed_eval_mask,0.0910,0.0000,0.0175,0.0000,0.0703,0.0005,0.8773,0.0001,0.6514,0.0015,0.0772,0.0002,0.4898,0.0117
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,3,10 11 12,fixed_eval_mask,0.0910,0.0000,0.0175,0.0000,0.0657,0.0002,0.8780,0.0000,0.6217,0.0048,0.0799,0.0006,0.4941,0.0035
backpack_remove_toy_charm,support_v3_fixed,Fixed DeCE displacement,3,10 11 12,fixed_eval_mask,0.0833,0.0000,0.0403,0.0001,0.2234,0.0003,0.7392,0.0005,0.8689,0.0003,-0.0180,0.0004,0.0000,0.0000
backpack_remove_toy_charm,support_v3_controller_rmsgap,DeCE-RF,3,10 11 12,fixed_eval_mask,0.0833,0.0000,0.0397,0.0000,0.2201,0.0003,0.7369,0.0004,0.8845,0.0011,-0.0164,0.0004,0.0000,0.0000
red_chair_blue,support_v3_fixed,Fixed DeCE displacement,3,10 11 12,fixed_eval_mask,0.1898,0.0000,0.0591,0.0000,0.2241,0.0006,0.5221,0.0010,0.8896,0.0007,0.0006,0.0036,0.9016,0.0005
red_chair_blue,support_v3_controller_rmsgap,DeCE-RF,3,10 11 12,fixed_eval_mask,0.1898,0.0000,0.0591,0.0001,0.2251,0.0003,0.5220,0.0004,0.8857,0.0046,0.0065,0.0024,0.8981,0.0012
