avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,complete,eval_mask_area,failure_flag,failure_note,final_mask_area,fixed_eval_mask_area,inside_blue_ratio,inside_mask_l1,inside_mask_psnr,inside_mask_rmse,mask_path,mask_source,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,method_display,missing,outside_mask_l1,outside_mask_psnr,outside_mask_rmse,peak_gpu_memory_gb,result_image,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_psnr,source_rmse,source_ssim,source_ssim_luma,target_prompt,task
1.0,0.9396984825531641,1.0000000248352687,0.9396984552343687,-0.33924352067212266,-0.002368563075833663,25.515209058920544,0.0517578125,0.022877107296759885,15.27854593594869,True,0.4468027750651042,,,0.0517578125,,0.0027207012351300585,0.05160712078213692,19.727156219251107,0.10319108741925583,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_10/masks/combined.png,run_mask,1.0,78.59740447998047,0.06188984215259552,27.56065559387207,adaptive_full_generic_support,Generic support control,,0.030678514391183853,25.847340932916385,0.05100737258153518,13.919281959533691,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_10/result.png,backpack_remove_toy_charm/adaptive_full_generic_support/seed_10,57.57748198113404,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.04002947732806206,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,22.07817334459438,0.07872113239912835,0.79604759539567,0.79604759539567,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9397075995802879,1.000000002483527,0.939707562327385,-0.3390692329655091,-0.0024255801175362044,25.472922682762146,0.0517578125,0.02287621869860838,15.27788245677948,True,0.4468027750651042,,,0.0517578125,,0.0027207012351300585,0.05159022659063339,19.737573645343605,0.1030673993243356,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_11/masks/combined.png,run_mask,1.0,78.59740447998047,0.06188984215259552,27.56065559387207,adaptive_full_generic_support,Generic support control,,0.030680201947689056,25.84695851826682,0.05100961833835754,13.795706748962402,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_11/result.png,backpack_remove_toy_charm/adaptive_full_generic_support/seed_11,50.56945652212016,11,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.04002286493778229,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,22.086080604133752,0.07864950068346238,0.7960611597298671,0.7960611597298671,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9396949658791224,1.0000000074505806,0.9396949708461761,-0.3391972202807665,-0.0024273803043494504,25.46425739924113,0.0517578125,0.022882732625779074,15.281344215075174,True,0.4468027750651042,,,0.0517578125,,0.0027093175479537823,0.051597461104393005,19.729606114870393,0.10316198599681656,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_12/masks/combined.png,run_mask,1.0,78.59740447998047,0.06188984215259552,27.56065559387207,adaptive_full_generic_support,Generic support control,,0.030688833445310593,25.842989069385393,0.051032935045638925,13.795706748962402,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_12/result.png,backpack_remove_toy_charm/adaptive_full_generic_support/seed_12,94.73526611691341,12,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.04003087803721428,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,22.07904182510709,0.07871326166228643,0.7959940607357827,0.7959940607357827,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309244804084301,0.0,0.0,True,0.4486236572265625,,,0.0309244804084301,,6.802489711234312e-05,0.0724727213382721,18.92841013635715,0.11313044441410078,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_10/masks/combined.png,run_mask,1.0,0.0,0.0,0.0,base_only,RF reconstruction / base reconstruction,,0.06377851217985153,20.19544258579712,0.09777501037557855,12.22925329208374,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_10/result.png,backpack_remove_toy_charm/base_only/seed_10,69.12757796002552,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.06767892837524414,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,19.58100667034671,0.10494207966650737,0.6146133566215531,0.6146133566215531,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309244804084301,0.0,0.0,True,0.4486236572265625,,,0.0309244804084301,,6.802489711234312e-05,0.0724727213382721,18.92841013635715,0.11313044441410078,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_11/masks/combined.png,run_mask,1.0,0.0,0.0,0.0,base_only,RF reconstruction / base reconstruction,,0.06377851217985153,20.19544258579712,0.09777501037557855,12.22229528427124,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_11/result.png,backpack_remove_toy_charm/base_only/seed_11,58.2056801749859,11,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.06767892837524414,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,19.58100667034671,0.10494207966650737,0.6146133566215531,0.6146133566215531,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309244804084301,0.0,0.0,True,0.4486236572265625,,,0.0309244804084301,,6.802489711234312e-05,0.0724727213382721,18.92841013635715,0.11313044441410078,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_12/masks/combined.png,run_mask,1.0,0.0,0.0,0.0,base_only,RF reconstruction / base reconstruction,,0.06377851217985153,20.19544258579712,0.09777501037557855,12.22229528427124,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_12/result.png,backpack_remove_toy_charm/base_only/seed_12,25.688713454874232,12,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.06767892837524414,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,19.58100667034671,0.10494207966650737,0.6146133566215531,0.6146133566215531,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9703656832377116,1.0,0.9703656782706579,0.0,0.0,16.16472073396047,0.0309244804084301,0.0,0.0,True,0.4486236572265625,,,0.0309244804084301,,7.93623799644003e-05,0.09981563687324524,16.238301391360757,0.15420019766730567,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_10/masks/combined.png,run_mask,1.0,52.38732147216797,0.0,0.0,direct_target,Direct target guidance,,0.07646656781435013,18.473795746266784,0.11920932055663659,12.22925329208374,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_10/result.png,backpack_remove_toy_charm/direct_target/seed_10,31.826905897120014,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.08694150298833847,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,17.327632498628383,0.13602488739842972,0.5618740349401752,0.5618740349401752,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9703656832377116,1.0,0.9703656782706579,0.0,0.0,16.16472073396047,0.0309244804084301,0.0,0.0,True,0.4486236572265625,,,0.0309244804084301,,7.93623799644003e-05,0.09981563687324524,16.238301391360757,0.15420019766730567,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_11/masks/combined.png,run_mask,1.0,52.38732147216797,0.0,0.0,direct_target,Direct target guidance,,0.07646656781435013,18.473795746266784,0.11920932055663659,12.22229528427124,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_11/result.png,backpack_remove_toy_charm/direct_target/seed_11,27.17684053303674,11,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.08694150298833847,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,17.327632498628383,0.13602488739842972,0.5618740349401752,0.5618740349401752,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9703656832377116,1.0,0.9703656782706579,0.0,0.0,16.16472073396047,0.0309244804084301,0.0,0.0,True,0.4486236572265625,,,0.0309244804084301,,7.93623799644003e-05,0.09981563687324524,16.238301391360757,0.15420019766730567,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_12/masks/combined.png,run_mask,1.0,52.38732147216797,0.0,0.0,direct_target,Direct target guidance,,0.07646656781435013,18.473795746266784,0.11920932055663659,12.22229528427124,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_12/result.png,backpack_remove_toy_charm/direct_target/seed_12,27.724724531173706,12,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.08694150298833847,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,17.327632498628383,0.13602488739842972,0.5618740349401752,0.5618740349401752,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9371810679634412,0.9999999925494194,0.9371810605128607,-0.33755887920657796,-6.777340636906122e-05,39.89629844824473,0.1253255307674408,0.018025594210484996,17.351293722788494,True,0.13348897298177084,,,0.1253255307674408,,0.0,0.21205852925777435,11.719488341588667,0.2594332181558358,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,run_mask,1.0,131.68563842773438,0.0523453913629055,37.33991241455078,support_v3_controller_rmsgap,DeCE-RF,,0.030538124963641167,25.555293784553005,0.05275156041324384,13.9203462600708,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/result.png,backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10,100.46978207095526,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.05476909875869751,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,19.432544387944308,0.10675120367090729,0.7370201436651805,0.7370201436651805,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
