task,method,seed,edit_success_1_5,source_preservation_1_5,locality_1_5,artifact_severity_1_5,placement_quality_1_5,old_object_absence_1_5,new_object_presence_1_5,fill_quality_1_5,overall_1_5,success,failure_flags,review_image,result_image,notes
cat_crown,base_only,10,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/base_only/seed_10/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,base_only,11,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/base_only/seed_11/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,base_only,12,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/base_only/seed_12/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,direct_target,10,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/direct_target/seed_10/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,direct_target,11,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/direct_target/seed_11/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,direct_target,12,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/direct_target/seed_12/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,adaptive_full_generic_support,10,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,adaptive_full_generic_support,11,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_11/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,adaptive_full_generic_support,12,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_12/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,support_v3_fixed,10,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,support_v3_fixed,11,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_11/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,support_v3_fixed,12,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_12/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
cat_crown,support_v3_controller_rmsgap,10,,,,,,,,,,,,outputs/pretty_matrix/cat_crown_seed_method_review.png,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,Allowed failure_flags: success;semantic_miss;wrong_placement;partial_edit;over_edit;background_drift;identity_drift;artifact;support_failure;removal_failure;old_object_remains;new_object_missing
