task,seed,R,R_boundary,R_agreement,R_host,gate_factor,completion_clean_delta_scale,mae_default_to_telea,mae_clean_delta_to_telea,mae_gated_to_telea,Gain,GatedGain,mae_gated_default,mae_gated_ungated,mae_clean_delta_default
laptop_remove_sticker,10,0.7509115406936108,0.9293438673455053,0.8788236466865589,0.9194129309777537,1.0,0.55,0.09844990819692612,0.009840482845902443,0.009792087599635124,0.08860942535102367,0.08865782059729099,0.09411365538835526,0.0006458834977820516,0.0940253809094429
fridge_remove_yellow_magnet,10,0.21297608599928072,0.7689253794065891,0.8672082882566273,0.31939140577694386,0.0,0.0,0.07900667190551758,0.010577340610325336,0.0796303078532219,0.06842933129519224,-0.0006236359477043152,0.0031958059407770634,0.07440564036369324,0.07370846718549728
fridge_remove_peach_magnet,10,0.2258448631741434,0.6734101684406567,0.7897592168856885,0.42465461093958806,0.0,0.0,0.16099677979946136,0.020117567852139473,0.16187140345573425,0.1408792119473219,-0.0008746236562728882,0.003900607582181692,0.14824214577674866,0.14743801951408386
whiteboard_remove_yellow_letter,10,0.20597518824726707,0.6173417979556669,0.7450922003754457,0.4477949677785645,0.0,0.0,0.10339289903640747,0.014034859836101532,0.10330751538276672,0.08935803920030594,8.538365364074707e-05,0.00372419785708189,0.0942668467760086,0.09439294785261154
backpack_remove_toy_charm,10,0.16294598495705498,0.5928487852534154,0.6943001815417329,0.39586987195601037,0.0,0.0,0.08745431900024414,0.009896240197122097,0.08623965829610825,0.07755807880312204,0.0012146607041358948,0.015211938880383968,0.08145391196012497,0.08263679593801498
dog_remove_tennis_ball,10,0.09230510095263346,0.4935155900437348,0.6302980557449323,0.29674188945136293,0.0,0.0,0.10659565776586533,0.013995062559843063,0.10528559237718582,0.09260059520602226,0.0013100653886795044,0.012741579674184322,0.09793128818273544,0.09927419573068619
laptop_remove_sticker,11,0.7509115406936108,0.9293438673455053,0.8788236466865589,0.9194129309777537,1.0,0.55,0.09731541574001312,0.009813093580305576,0.011159771122038364,0.08750232215970755,0.08615564461797476,0.09212496131658554,0.0025498969480395317,0.09260105341672897
fridge_remove_yellow_magnet,11,0.21297608599928072,0.7689253794065891,0.8672082882566273,0.31939140577694386,0.0,0.0,0.07949618995189667,0.010492919012904167,0.07923543453216553,0.0690032709389925,0.00026075541973114014,0.006773556582629681,0.0743647888302803,0.07429329305887222
fridge_remove_peach_magnet,11,0.2258448631741434,0.6734101684406567,0.7897592168856885,0.42465461093958806,0.0,0.0,0.1616475135087967,0.0190361849963665,0.16181804239749908,0.1426113285124302,-0.00017052888870239258,0.0024381179828196764,0.14953504502773285,0.1494140475988388
whiteboard_remove_yellow_letter,11,0.20597518824726707,0.6173417979556669,0.7450922003754457,0.4477949677785645,0.0,0.0,0.10242366045713425,0.014050721190869808,0.10336744040250778,0.08837293926626444,-0.0009437799453735352,0.007292144000530243,0.09438452124595642,0.09343331307172775
backpack_remove_toy_charm,11,0.16294598495705498,0.5928487852534154,0.6943001815417329,0.39586987195601037,0.0,0.0,0.08686314523220062,0.009818493388593197,0.0877365693449974,0.07704465184360743,-0.0008734241127967834,0.015424559824168682,0.08296483010053635,0.082054004073143
dog_remove_tennis_ball,11,0.09230510095263346,0.4935155900437348,0.6302980557449323,0.29674188945136293,0.0,0.0,0.10551345348358154,0.014100910164415836,0.10503558069467545,0.0914125433191657,0.0004778727889060974,0.00606484804302454,0.09777721762657166,0.09814141690731049
laptop_remove_sticker,12,0.7509115406936108,0.9293438673455053,0.8788236466865589,0.9194129309777537,1.0,0.55,0.0965634435415268,0.009774936363101006,0.009808707050979137,0.08678850717842579,0.08675473649054766,0.09230976551771164,0.0005650483653880656,0.09239006787538528
fridge_remove_yellow_magnet,12,0.21297608599928072,0.7689253794065891,0.8672082882566273,0.31939140577694386,0.0,0.0,0.07959354668855667,0.010304328985512257,0.07957175374031067,0.06928921770304441,2.1792948246002197e-05,0.007928920909762383,0.07369008660316467,0.0739828422665596
fridge_remove_peach_magnet,12,0.2258448631741434,0.6734101684406567,0.7897592168856885,0.42465461093958806,0.0,0.0,0.1635301560163498,0.019410619512200356,0.16075097024440765,0.14411953650414944,0.0027791857719421387,0.0061195907182991505,0.1477733999490738,0.15067073702812195
whiteboard_remove_yellow_letter,12,0.20597518824726707,0.6173417979556669,0.7450922003754457,0.4477949677785645,0.0,0.0,0.10347611457109451,0.01394694484770298,0.10355952382087708,0.08952916972339153,-8.340924978256226e-05,0.01099715381860733,0.0943392962217331,0.09435809403657913
backpack_remove_toy_charm,12,0.16294598495705498,0.5928487852534154,0.6943001815417329,0.39586987195601037,0.0,0.0,0.08790983259677887,0.009821350686252117,0.08668462932109833,0.07808848191052675,0.001225203275680542,0.0162301454693079,0.08184745907783508,0.083102285861969
dog_remove_tennis_ball,12,0.09230510095263346,0.4935155900437348,0.6302980557449323,0.29674188945136293,0.0,0.0,0.1053374782204628,0.014189550653100014,0.10585159808397293,0.09114792756736279,-0.0005141198635101318,0.019939985126256943,0.09839404374361038,0.09801600873470306
