task,seed,R,R_boundary,R_agreement,R_host,gate_factor,completion_clean_delta_scale,mae_default_to_telea,mae_clean_delta_to_telea,mae_gated_to_telea,Gain,GatedGain,mae_gated_default,mae_gated_ungated,mae_clean_delta_default
laptop_remove_sticker,10,0.7509115406936108,0.9293438673455053,0.8788236466865589,0.9194129309777537,1.0,0.55,0.09844990819692612,0.009840482845902443,0.009691176936030388,0.08860942535102367,0.08875873126089573,0.0939832329750061,0.000531411322299391,0.0940253809094429
fridge_remove_yellow_magnet,10,0.21297608599928072,0.7689253794065891,0.8672082882566273,0.31939140577694386,0.5,0.275,0.07900667190551758,0.010577340610325336,0.02252723090350628,0.06842933129519224,0.0564794410020113,0.06677354872226715,0.014611928723752499,0.07370846718549728
fridge_remove_peach_magnet,10,0.2258448631741434,0.6734101684406567,0.7897592168856885,0.42465461093958806,0.5,0.275,0.16099677979946136,0.020117567852139473,0.04873758926987648,0.1408792119473219,0.11225919052958488,0.11821013689041138,0.0329245999455452,0.14743801951408386
whiteboard_remove_yellow_letter,10,0.20597518824726707,0.6173417979556669,0.7450922003754457,0.4477949677785645,0.5,0.275,0.10339289903640747,0.014034859836101532,0.03152821213006973,0.08935803920030594,0.07186468690633774,0.0780019760131836,0.021015478298068047,0.09439294785261154
backpack_remove_toy_charm,10,0.16294598495705498,0.5928487852534154,0.6943001815417329,0.39586987195601037,0.0,0.0,0.08745431900024414,0.009896240197122097,0.086442731320858,0.07755807880312204,0.001011587679386139,0.015336371026933193,0.08164902776479721,0.08263679593801498
dog_remove_tennis_ball,10,0.09230510095263346,0.4935155900437348,0.6302980557449323,0.29674188945136293,0.0,0.0,0.10659565776586533,0.013995062559843063,0.10557810962200165,0.09260059520602226,0.001017548143863678,0.009958782233297825,0.09820867329835892,0.09927419573068619
laptop_remove_sticker,11,0.7509115406936108,0.9293438673455053,0.8788236466865589,0.9194129309777537,1.0,0.55,0.09731541574001312,0.009813093580305576,0.011507176794111729,0.08750232215970755,0.0858082389459014,0.09279809147119522,0.004166998900473118,0.09260105341672897
fridge_remove_yellow_magnet,11,0.21297608599928072,0.7689253794065891,0.8672082882566273,0.31939140577694386,0.5,0.275,0.07949618995189667,0.010492919012904167,0.021308548748493195,0.0690032709389925,0.05818764120340347,0.06769607216119766,0.01304874662309885,0.07429329305887222
fridge_remove_peach_magnet,11,0.2258448631741434,0.6734101684406567,0.7897592168856885,0.42465461093958806,0.5,0.275,0.1616475135087967,0.0190361849963665,0.0485679991543293,0.1426113285124302,0.11307951435446739,0.11922482401132584,0.03368585556745529,0.1494140475988388
whiteboard_remove_yellow_letter,11,0.20597518824726707,0.6173417979556669,0.7450922003754457,0.4477949677785645,0.5,0.275,0.10242366045713425,0.014050721190869808,0.03128834813833237,0.08837293926626444,0.07113531231880188,0.07694365084171295,0.020739004015922546,0.09343331307172775
backpack_remove_toy_charm,11,0.16294598495705498,0.5928487852534154,0.6943001815417329,0.39586987195601037,0.0,0.0,0.08686314523220062,0.009818493388593197,0.08614757657051086,0.07704465184360743,0.0007155686616897583,0.0053581432439386845,0.08133058995008469,0.082054004073143
dog_remove_tennis_ball,11,0.09230510095263346,0.4935155900437348,0.6302980557449323,0.29674188945136293,0.0,0.0,0.10551345348358154,0.014100910164415836,0.10663840919733047,0.0914125433191657,-0.0011249557137489319,0.008887273259460926,0.09936387836933136,0.09814141690731049
laptop_remove_sticker,12,0.7509115406936108,0.9293438673455053,0.8788236466865589,0.9194129309777537,1.0,0.55,0.0965634435415268,0.009774936363101006,0.009741567075252533,0.08678850717842579,0.08682187646627426,0.0923532247543335,0.0006297962972894311,0.09239006787538528
fridge_remove_yellow_magnet,12,0.21297608599928072,0.7689253794065891,0.8672082882566273,0.31939140577694386,0.5,0.275,0.07959354668855667,0.010304328985512257,0.022310728207230568,0.06928921770304441,0.0572828184813261,0.06794185936450958,0.014262663200497627,0.0739828422665596
fridge_remove_peach_magnet,12,0.2258448631741434,0.6734101684406567,0.7897592168856885,0.42465461093958806,0.5,0.275,0.1635301560163498,0.019410619512200356,0.04873187094926834,0.14411953650414944,0.11479828506708145,0.120829276740551,0.033481016755104065,0.15067073702812195
whiteboard_remove_yellow_letter,12,0.20597518824726707,0.6173417979556669,0.7450922003754457,0.4477949677785645,0.5,0.275,0.10347611457109451,0.01394694484770298,0.031683485954999924,0.08952916972339153,0.07179262861609459,0.07783201336860657,0.021150976419448853,0.09435809403657913
backpack_remove_toy_charm,12,0.16294598495705498,0.5928487852534154,0.6943001815417329,0.39586987195601037,0.0,0.0,0.08790983259677887,0.009821350686252117,0.08606426417827606,0.07808848191052675,0.0018455684185028076,0.01625370979309082,0.08128413558006287,0.083102285861969
dog_remove_tennis_ball,12,0.09230510095263346,0.4935155900437348,0.6302980557449323,0.29674188945136293,0.0,0.0,0.1053374782204628,0.014189550653100014,0.10601062327623367,0.09114792756736279,-0.000673145055770874,0.019499389454722404,0.09855880588293076,0.09801600873470306
