group,task,method,seed,source_path,normalized_path,original_size,fitted_size,offset,backbone,normalization_policy
source,cat_crown,,,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,512x512,512x512,"0,0",,existing normalized_512 source
source,bowl_apple_inside,,,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/bowl_apple_inside.png,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/bowl_apple_inside.png,512x512,512x512,"0,0",,existing normalized_512 source
source,tshirt_star,,,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/tshirt_star.png,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/tshirt_star.png,512x512,512x512,"0,0",,existing normalized_512 source
source,red_chair_blue,,,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/red_chair_blue.png,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/red_chair_blue.png,512x512,512x512,"0,0",,existing normalized_512 source
source,pillow_vertical_fabric_strip,,,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/pillow_vertical_fabric_strip.png,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/pillow_vertical_fabric_strip.png,512x512,512x512,"0,0",,existing normalized_512 source
source,backpack_remove_toy_charm,,,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/backpack_remove_toy_charm.png,/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/normalized_512/sources/backpack_remove_toy_charm.png,512x512,512x512,"0,0",,existing normalized_512 source
e2_native_flux_result,cat_crown,fireflow,10,outputs/baselines/fireflow/cat_crown/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/fireflow/cat_crown/seed_10.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,cat_crown,fireflow,11,outputs/baselines/fireflow/cat_crown/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/fireflow/cat_crown/seed_11.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,cat_crown,fireflow,12,outputs/baselines/fireflow/cat_crown/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/fireflow/cat_crown/seed_12.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,bowl_apple_inside,fireflow,10,outputs/baselines/fireflow/bowl_apple_inside/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/fireflow/bowl_apple_inside/seed_10.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
