task,method,seed,edit_success_1_5,source_preservation_1_5,locality_1_5,artifact_severity_1_5,overall_1_5,pass_fail,result_image,notes
backpack_remove_toy_charm,flowalign,10,3,2,2,3,2,borderline,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowalign/seed_10/result.png,removal/replacement remains unstable with backpack/strap drift
backpack_remove_toy_charm,flowalign,11,3,2,2,3,2,borderline,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowalign/seed_11/result.png,removal/replacement remains unstable with backpack/strap drift
backpack_remove_toy_charm,flowalign,12,3,2,2,3,2,borderline,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowalign/seed_12/result.png,removal/replacement remains unstable with backpack/strap drift
backpack_remove_toy_charm,flowedit,10,3,1,1,4,1,reject,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowedit/seed_10/result.png,removal fails; charm/strap/backpack content changes and target object remains or is replaced
backpack_remove_toy_charm,flowedit,11,3,1,1,4,1,reject,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowedit/seed_11/result.png,removal fails; charm/strap/backpack content changes and target object remains or is replaced
backpack_remove_toy_charm,flowedit,12,3,1,1,4,1,reject,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowedit/seed_12/result.png,removal fails; charm/strap/backpack content changes and target object remains or is replaced
backpack_remove_toy_charm,splitflow,10,3,1,1,4,1,reject,outputs/e2_rf_comparison/backpack_remove_toy_charm/splitflow/seed_10/result.png,removal remains unstable with backpack/object content redrawn
backpack_remove_toy_charm,splitflow,11,3,1,1,4,1,reject,outputs/e2_rf_comparison/backpack_remove_toy_charm/splitflow/seed_11/result.png,removal remains unstable with backpack/object content redrawn
backpack_remove_toy_charm,splitflow,12,3,1,1,4,1,reject,outputs/e2_rf_comparison/backpack_remove_toy_charm/splitflow/seed_12/result.png,removal remains unstable with backpack/object content redrawn
backpack_remove_toy_charm,support_v3_controller_rmsgap,10,5,5,5,1,5,pass,outputs/e2_rf_comparison/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/result.png,reuses strict Phase 1 human quick audit pass
backpack_remove_toy_charm,support_v3_controller_rmsgap,11,5,5,5,1,5,pass,outputs/e2_rf_comparison/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/result.png,reuses strict Phase 1 human quick audit pass
backpack_remove_toy_charm,support_v3_controller_rmsgap,12,5,5,5,1,5,pass,outputs/e2_rf_comparison/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12/result.png,reuses strict Phase 1 human quick audit pass
bowl_apple_inside,flowalign,10,3,2,2,3,2,borderline,outputs/e2_rf_comparison/bowl_apple_inside/flowalign/seed_10/result.png,target apple forms; scene is square-cropped and bowl/table appearance shifts
bowl_apple_inside,flowalign,11,3,2,2,3,2,borderline,outputs/e2_rf_comparison/bowl_apple_inside/flowalign/seed_11/result.png,target apple forms; scene is square-cropped and bowl/table appearance shifts
bowl_apple_inside,flowalign,12,3,2,2,3,2,borderline,outputs/e2_rf_comparison/bowl_apple_inside/flowalign/seed_12/result.png,target apple forms; scene is square-cropped and bowl/table appearance shifts
bowl_apple_inside,flowedit,10,3,1,1,4,1,reject,outputs/e2_rf_comparison/bowl_apple_inside/flowedit/seed_10/result.png,apple forms but bowl/table crop and surrounding layout are heavily redrawn
bowl_apple_inside,flowedit,11,3,1,1,4,1,reject,outputs/e2_rf_comparison/bowl_apple_inside/flowedit/seed_11/result.png,apple forms but bowl/table crop and surrounding layout are heavily redrawn
bowl_apple_inside,flowedit,12,3,1,1,4,1,reject,outputs/e2_rf_comparison/bowl_apple_inside/flowedit/seed_12/result.png,apple forms but bowl/table crop and surrounding layout are heavily redrawn
bowl_apple_inside,splitflow,10,3,1,1,4,1,reject,outputs/e2_rf_comparison/bowl_apple_inside/splitflow/seed_10/result.png,apple forms but bowl/table layout and object identity drift substantially
bowl_apple_inside,splitflow,11,3,1,1,4,1,reject,outputs/e2_rf_comparison/bowl_apple_inside/splitflow/seed_11/result.png,apple forms but bowl/table layout and object identity drift substantially
bowl_apple_inside,splitflow,12,3,1,1,4,1,reject,outputs/e2_rf_comparison/bowl_apple_inside/splitflow/seed_12/result.png,apple forms but bowl/table layout and object identity drift substantially
