task,method,seed,result,metadata,command,support_condition,notes
cat_crown,direct_target_raw,10,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_10/result.png,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_10/command.txt,none,Raw direct target SD3 row; no support input.
cat_crown,direct_target_mask_blend,10,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.
cat_crown,flowedit_mask_blend,10,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.
cat_crown,support_v3_controller_rmsgap,10,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_10/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.
cat_crown,direct_target_raw,11,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_11/result.png,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_11/command.txt,none,Raw direct target SD3 row; no support input.
cat_crown,direct_target_mask_blend,11,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.
cat_crown,flowedit_mask_blend,11,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.
cat_crown,support_v3_controller_rmsgap,11,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_11/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.
tshirt_star,direct_target_raw,10,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_10/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_10/command.txt,none,Raw direct target SD3 row; no support input.
tshirt_star,direct_target_mask_blend,10,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.
tshirt_star,flowedit_mask_blend,10,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.
tshirt_star,support_v3_controller_rmsgap,10,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_10/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_10/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.
tshirt_star,direct_target_raw,11,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_11/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_11/command.txt,none,Raw direct target SD3 row; no support input.
tshirt_star,direct_target_mask_blend,11,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.
tshirt_star,flowedit_mask_blend,11,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.
tshirt_star,support_v3_controller_rmsgap,11,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_11/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_11/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.
backpack_remove_toy_charm,direct_target_raw,10,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_10/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_10/command.txt,none,Raw direct target SD3 row; no support input.
backpack_remove_toy_charm,direct_target_mask_blend,10,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.
backpack_remove_toy_charm,flowedit_mask_blend,10,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.
backpack_remove_toy_charm,support_v3_controller_rmsgap,10,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.
backpack_remove_toy_charm,direct_target_raw,11,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_11/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_11/command.txt,none,Raw direct target SD3 row; no support input.
backpack_remove_toy_charm,direct_target_mask_blend,11,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.
backpack_remove_toy_charm,flowedit_mask_blend,11,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.
backpack_remove_toy_charm,support_v3_controller_rmsgap,11,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.
