task,seed,variant,display_name,role,mask_path,threshold_policy,complete,missing,support_iou,support_precision,support_recall,support_area_ratio,eval_area_ratio,downstream_method,outside_mask_l1,inside_mask_l1,source_ssim_luma,edit_score
cat_crown,10,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0766,0.1608,0.1277,0.0442,0.0556,,,,,
cat_crown,10,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0488,0.1004,0.0868,0.0481,0.0556,,,,,
cat_crown,10,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0488,0.1006,0.0866,0.0479,0.0556,,,,,
cat_crown,10,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.4590,0.6079,0.6520,0.0596,0.0556,,,,,
cat_crown,10,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/masks/core_final.png,binary_midpoint,1,0,0.0993,0.2013,0.1638,0.0452,0.0556,adaptive_full_generic_support,0.058402907103300095,0.057016465812921524,0.657388538977492,0.001161426305770874
cat_crown,10,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0290,0.0556,support_v3_controller_rmsgap,0.05720386654138565,0.05472143739461899,0.6503387867006813,0.09823594987392426
cat_crown,11,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0766,0.1608,0.1277,0.0442,0.0556,,,,,
cat_crown,11,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0488,0.1004,0.0868,0.0481,0.0556,,,,,
cat_crown,11,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0488,0.1006,0.0866,0.0479,0.0556,,,,,
cat_crown,11,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.4590,0.6079,0.6520,0.0596,0.0556,,,,,
cat_crown,11,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_11/masks/core_final.png,binary_midpoint,1,0,0.0993,0.2013,0.1638,0.0452,0.0556,adaptive_full_generic_support,0.05858729034662247,0.05695425719022751,0.6576961189713902,0.003157496452331543
cat_crown,11,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0290,0.0556,support_v3_controller_rmsgap,0.05721370503306389,0.05473194643855095,0.6505281516449725,0.09729312360286713
cat_crown,12,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0766,0.1608,0.1277,0.0442,0.0556,,,,,
cat_crown,12,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0488,0.1004,0.0868,0.0481,0.0556,,,,,
cat_crown,12,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0488,0.1006,0.0866,0.0479,0.0556,,,,,
