task,variant,display_name,n,role,support_iou_mean,support_precision_mean,support_recall_mean,support_area_ratio_mean,outside_mask_l1_mean,inside_mask_l1_mean,source_ssim_luma_mean,edit_score_mean
cat_crown,attention_only,Attention only,3,semantic localization only,0.0455,0.0639,0.1352,0.0438,,,,
cat_crown,clean_disagreement,Clean disagreement,3,source-target clean-estimate gap,0.0144,0.0204,0.0472,0.0480,,,,
cat_crown,velocity_disagreement,Velocity disagreement,3,RF response without relation prior,0.0144,0.0203,0.0468,0.0478,,,,
cat_crown,grounding_sam,Grounding/SAM,3,external segmentation only,0.2370,0.2582,0.7422,0.0596,,,,
cat_crown,generic_support,Generic support,3,weak automatic support,0.0000,0.0000,0.0000,0.0452,0.0582,0.0574,0.6575,0.0022
cat_crown,operation_conditioned_support,Operation support,3,operation-conditioned geometry estimator,0.0205,0.0367,0.0440,0.0269,0.0572,0.0547,0.6503,0.0988
dog_bow_tie_phase2,attention_only,Attention only,3,semantic localization only,0.2138,0.3791,0.3289,0.0444,,,,
dog_bow_tie_phase2,clean_disagreement,Clean disagreement,3,source-target clean-estimate gap,0.0256,0.0517,0.0485,0.0480,,,,
dog_bow_tie_phase2,velocity_disagreement,Velocity disagreement,3,RF response without relation prior,0.0261,0.0519,0.0497,0.0490,,,,
dog_bow_tie_phase2,grounding_sam,Grounding/SAM,3,external segmentation only,0.0308,0.0407,0.1125,0.1414,,,,
dog_bow_tie_phase2,generic_support,Generic support,3,weak automatic support,0.0000,0.0000,0.0000,0.0435,,,,
dog_bow_tie_phase2,operation_conditioned_support,Operation support,3,operation-conditioned geometry estimator,0.6084,0.6629,0.8809,0.0680,,,,
dog_front_sunglasses_phase2,attention_only,Attention only,3,semantic localization only,0.0000,0.0000,0.0000,0.0461,,,,
dog_front_sunglasses_phase2,clean_disagreement,Clean disagreement,3,source-target clean-estimate gap,0.0397,0.2025,0.0471,0.0475,,,,
dog_front_sunglasses_phase2,velocity_disagreement,Velocity disagreement,3,RF response without relation prior,0.0407,0.2045,0.0484,0.0484,,,,
dog_front_sunglasses_phase2,grounding_sam,Grounding/SAM,3,external segmentation only,0.2227,0.2231,0.9922,0.9090,,,,
dog_front_sunglasses_phase2,generic_support,Generic support,3,weak automatic support,0.0000,0.0000,0.0000,0.0138,,,,
dog_front_sunglasses_phase2,operation_conditioned_support,Operation support,3,operation-conditioned geometry estimator,0.7002,0.8004,0.8483,0.2167,,,,
bowl_apple_inside,attention_only,Attention only,3,semantic localization only,0.0000,0.0000,0.0000,0.0477,,,,
bowl_apple_inside,clean_disagreement,Clean disagreement,3,source-target clean-estimate gap,0.0690,0.1157,0.1461,0.0475,,,,
bowl_apple_inside,velocity_disagreement,Velocity disagreement,3,RF response without relation prior,0.0690,0.1156,0.1461,0.0475,,,,
bowl_apple_inside,grounding_sam,Grounding/SAM,3,external segmentation only,0.5281,0.5286,0.9985,0.0711,,,,
bowl_apple_inside,generic_support,Generic support,3,weak automatic support,0.3223,0.3630,0.7410,0.0769,0.0620,0.1435,0.5113,0.0125
bowl_apple_inside,operation_conditioned_support,Operation support,3,operation-conditioned geometry estimator,0.6835,0.7144,0.9405,0.0495,0.0533,0.0860,0.5367,0.0202
white_bowl_orange_tabletop_phase2,attention_only,Attention only,3,semantic localization only,0.0000,0.0000,0.0000,0.0466,,,,
