support_metric,downstream_metric,n,pearson_r,spearman_r,scope
support_iou,outside_mask_l1,18,-0.2757,-0.2247,runnable rows only: generic_support and operation_conditioned_support
support_iou,inside_mask_l1,18,0.5366,0.7090,runnable rows only: generic_support and operation_conditioned_support
support_iou,source_ssim_luma,18,-0.1204,-0.2880,runnable rows only: generic_support and operation_conditioned_support
support_iou,edit_score,18,0.1998,0.5666,runnable rows only: generic_support and operation_conditioned_support
support_precision,outside_mask_l1,18,-0.2700,-0.2754,runnable rows only: generic_support and operation_conditioned_support
support_precision,inside_mask_l1,18,0.5553,0.6774,runnable rows only: generic_support and operation_conditioned_support
support_precision,source_ssim_luma,18,-0.1258,-0.1994,runnable rows only: generic_support and operation_conditioned_support
support_precision,edit_score,18,0.2139,0.5856,runnable rows only: generic_support and operation_conditioned_support
support_recall,outside_mask_l1,18,-0.1687,-0.2944,runnable rows only: generic_support and operation_conditioned_support
support_recall,inside_mask_l1,18,0.7056,0.6774,runnable rows only: generic_support and operation_conditioned_support
support_recall,source_ssim_luma,18,-0.2335,-0.1424,runnable rows only: generic_support and operation_conditioned_support
support_recall,edit_score,18,0.1506,0.6046,runnable rows only: generic_support and operation_conditioned_support
support_area_ratio,outside_mask_l1,18,0.0049,0.1872,runnable rows only: generic_support and operation_conditioned_support
support_area_ratio,inside_mask_l1,18,0.8134,0.9049,runnable rows only: generic_support and operation_conditioned_support
support_area_ratio,source_ssim_luma,18,-0.2623,-0.3370,runnable rows only: generic_support and operation_conditioned_support
support_area_ratio,edit_score,18,-0.2178,-0.0437,runnable rows only: generic_support and operation_conditioned_support
