task,method,display_name,seed,n_steps_logged,stats_path,adaptive_preserve_drift_mean,adaptive_preserve_drift_max,adaptive_preserve_weight_mean,adaptive_preserve_weight_max,adaptive_edit_weight_mean,adaptive_edit_weight_max,adaptive_projection_norm_mean,adaptive_projection_norm_max,adaptive_clean_conflict_score_mean,adaptive_clean_conflict_score_max,adaptive_preserve_clean_correction_norm_mean,adaptive_preserve_clean_correction_norm_max,adaptive_edit_progress_mean,adaptive_edit_progress_max,adaptive_edit_change_rms_mean,adaptive_edit_change_rms_max
cat_crown,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cat_crown,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cat_crown,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cat_crown,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/stats.json,0.2908,0.5283,1.2965,1.6500,1.0985,1.5500,0.0003,0.0007,0.0145,0.0725,6.2440,19.7287,0.3828,1.0003,0.6464,0.7796
cat_crown,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/stats.json,0.2936,0.5291,1.3003,1.6500,1.1072,1.5500,0.0127,0.0408,0.8854,2.5843,6.3502,19.6491,0.3983,1.0002,0.6342,0.7606
cat_crown,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/stats.json,0.2937,0.5291,1.3004,1.6500,1.1123,1.5500,0.0136,0.0400,0.9105,2.5760,6.3548,19.6491,0.4044,1.0002,0.6319,0.7481
tshirt_star,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/tshirt_star/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tshirt_star,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/tshirt_star/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tshirt_star,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/tshirt_star/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_10/stats.json,0.1917,0.3349,1.3203,1.6500,1.2321,1.5500,0.0298,0.0798,1.3776,5.3375,2.2025,7.3561,0.5784,1.0008,0.5671,0.6664
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/stats.json,0.1955,0.3354,1.3377,1.6500,1.2125,1.5500,0.1435,0.4659,6.9268,29.2604,2.3048,7.3414,0.5564,1.0006,0.5401,0.6612
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/stats.json,0.1956,0.3354,1.3378,1.6500,1.2145,1.5500,0.1464,0.4739,6.9199,29.7574,2.3082,7.3414,0.5593,1.0007,0.5404,0.6625
pillow_vertical_fabric_strip,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/pillow_vertical_fabric_strip/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
pillow_vertical_fabric_strip,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/pillow_vertical_fabric_strip/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
pillow_vertical_fabric_strip,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/pillow_vertical_fabric_strip/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
