task,method,display_name,seed,n_steps_logged,stats_path,adaptive_preserve_drift_mean,adaptive_preserve_drift_max,adaptive_preserve_weight_mean,adaptive_preserve_weight_max,adaptive_edit_weight_mean,adaptive_edit_weight_max,adaptive_projection_norm_mean,adaptive_projection_norm_max,adaptive_clean_conflict_score_mean,adaptive_clean_conflict_score_max,adaptive_preserve_clean_correction_norm_mean,adaptive_preserve_clean_correction_norm_max,adaptive_edit_progress_mean,adaptive_edit_progress_max,adaptive_edit_change_rms_mean,adaptive_edit_change_rms_max
cat_crown,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cat_crown,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cat_crown,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cat_crown,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/stats.json,0.2908,0.5283,1.2965,1.6500,1.0985,1.5500,0.0003,0.0007,0.0145,0.0725,6.2440,19.7287,0.3828,1.0003,0.6464,0.7796
cat_crown,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/stats.json,0.2936,0.5291,1.3003,1.6500,1.1072,1.5500,0.0127,0.0408,0.8854,2.5843,6.3502,19.6491,0.3983,1.0002,0.6342,0.7606
cat_crown,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/stats.json,0.2937,0.5291,1.3004,1.6500,1.1123,1.5500,0.0136,0.0400,0.9105,2.5760,6.3548,19.6491,0.4044,1.0002,0.6319,0.7481
dog_bow_tie_phase2,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dog_bow_tie_phase2,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dog_bow_tie_phase2,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dog_bow_tie_phase2,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/stats.json,0.2704,0.4279,1.2601,1.6197,1.1593,1.5500,0.0327,0.0890,1.5878,7.1430,4.1981,10.7130,0.4832,1.0002,0.5647,0.5916
dog_bow_tie_phase2,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_11/stats.json,0.2704,0.4279,1.2600,1.6197,1.1594,1.5500,0.0327,0.0936,1.5814,6.9483,4.1973,10.7130,0.4833,1.0002,0.5657,0.5924
dog_bow_tie_phase2,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_12/stats.json,0.2705,0.4279,1.2602,1.6197,1.1588,1.5500,0.0325,0.0888,1.5606,7.2597,4.2025,10.7130,0.4828,1.0002,0.5655,0.5921
dog_front_sunglasses_phase2,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dog_front_sunglasses_phase2,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
