task,method,seed,complete,result,metadata,stats,category,boundary_label,paper_message
cat_crown,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/stats.json,positive_core,above-host accessory,canonical attached-accessory success case
cat_crown,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/stats.json,positive_core,above-host accessory,canonical attached-accessory success case
cat_crown,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/stats.json,positive_core,above-host accessory,canonical attached-accessory success case
dog_bow_tie_phase2,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/stats.json,extension_core,below-host accessory,tests neck/chest accessory geometry
dog_bow_tie_phase2,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_11/stats.json,extension_core,below-host accessory,tests neck/chest accessory geometry
dog_bow_tie_phase2,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_12/stats.json,extension_core,below-host accessory,tests neck/chest accessory geometry
dog_front_sunglasses_phase2,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/stats.json,boundary_core,face-attached accessory,strict alignment and identity preservation
dog_front_sunglasses_phase2,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_11/stats.json,boundary_core,face-attached accessory,strict alignment and identity preservation
dog_front_sunglasses_phase2,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_12/stats.json,boundary_core,face-attached accessory,strict alignment and identity preservation
bowl_apple_inside,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/stats.json,positive_core,inside-container insertion,canonical container insertion
bowl_apple_inside,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/stats.json,positive_core,inside-container insertion,canonical container insertion
bowl_apple_inside,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/stats.json,positive_core,inside-container insertion,canonical container insertion
white_bowl_orange_tabletop_phase2,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_10/stats.json,boundary_core,surface placement clarity,orange visibility and scale are human-review sensitive
white_bowl_orange_tabletop_phase2,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_11/stats.json,boundary_core,surface placement clarity,orange visibility and scale are human-review sensitive
white_bowl_orange_tabletop_phase2,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_12/stats.json,boundary_core,surface placement clarity,orange visibility and scale are human-review sensitive
brown_bowl_lemon_phase2,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_10/stats.json,extension_core,inside-container insertion,small bowl interior placement
brown_bowl_lemon_phase2,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_11/stats.json,extension_core,inside-container insertion,small bowl interior placement
brown_bowl_lemon_phase2,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_12/stats.json,extension_core,inside-container insertion,small bowl interior placement
tshirt_star,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_10/stats.json,boundary_core,decal naturalness,hard-edge symbol can look pasted if texture/shading is weak
tshirt_star,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/stats.json,boundary_core,decal naturalness,hard-edge symbol can look pasted if texture/shading is weak
tshirt_star,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/stats.json,boundary_core,decal naturalness,hard-edge symbol can look pasted if texture/shading is weak
mug_heart,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/stats.json,positive_core,compact decal,small hard-edge decal on curved mug
mug_heart,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_11/stats.json,positive_core,compact decal,small hard-edge decal on curved mug
mug_heart,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_12/stats.json,positive_core,compact decal,small hard-edge decal on curved mug
tote_leaf,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_10/stats.json,extension_core,fabric-panel decal,larger flat tote panel
tote_leaf,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_11/stats.json,extension_core,fabric-panel decal,larger flat tote panel
tote_leaf,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_12/stats.json,extension_core,fabric-panel decal,larger flat tote panel
red_office_chair_to_blue_office_chair,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_10/stats.json,positive_core,object recolor,chair shell recolor with metal/floor preservation
red_office_chair_to_blue_office_chair,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_11/stats.json,positive_core,object recolor,chair shell recolor with metal/floor preservation
red_office_chair_to_blue_office_chair,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_12/stats.json,positive_core,object recolor,chair shell recolor with metal/floor preservation
green_mug_orange_phase2,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_10/stats.json,boundary_core,object recolor,edge grey and orange clarity are human-review sensitive
green_mug_orange_phase2,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_11/stats.json,boundary_core,object recolor,edge grey and orange clarity are human-review sensitive
green_mug_orange_phase2,support_v3_controller_rmsgap,12,True,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_12/stats.json,boundary_core,object recolor,edge grey and orange clarity are human-review sensitive
yellow_vase_blue_phase2,support_v3_controller_rmsgap,10,True,outputs/pretty_matrix/yellow_vase_blue_phase2/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/yellow_vase_blue_phase2/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/yellow_vase_blue_phase2/support_v3_controller_rmsgap/seed_10/stats.json,boundary_core,object recolor,fabric boundary and matte blue realism are human-review sensitive
yellow_vase_blue_phase2,support_v3_controller_rmsgap,11,True,outputs/pretty_matrix/yellow_vase_blue_phase2/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/yellow_vase_blue_phase2/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/yellow_vase_blue_phase2/support_v3_controller_rmsgap/seed_11/stats.json,boundary_core,object recolor,fabric boundary and matte blue realism are human-review sensitive
