group,task,method,seed,source_path,normalized_path,original_size,fitted_size,offset
source,cat_crown,,,data/paper_images/cat_sitting_in_grass.jpg,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,5184x3456,512x341,"0,85"
eval_mask,cat_crown,,,experiments/support_v3_2026-06-02/eval_masks/cat_crown_eval_mask.png,experiments/support_v3_2026-06-02/normalized_512/eval_masks/cat_crown_eval_mask.png,512x336,512x336,"0,88"
source,bowl_apple_inside,,,data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,experiments/support_v3_2026-06-02/normalized_512/sources/bowl_apple_inside.png,1400x933,512x341,"0,85"
eval_mask,bowl_apple_inside,,,experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,experiments/support_v3_2026-06-02/normalized_512/eval_masks/bowl_apple_inside_eval_mask.png,512x336,512x336,"0,88"
source,tshirt_star,,,data/pretty_free_candidates/pexels_person_white_tshirt_blue_jeans_8217483.jpg,experiments/support_v3_2026-06-02/normalized_512/sources/tshirt_star.png,5356x3571,512x341,"0,85"
eval_mask,tshirt_star,,,experiments/support_v3_2026-06-02/eval_masks/tshirt_star_eval_mask.png,experiments/support_v3_2026-06-02/normalized_512/eval_masks/tshirt_star_eval_mask.png,512x336,512x336,"0,88"
source,red_chair_blue,,,data/pretty_free_candidates/pexels_red_armchair_room_6758347.jpg,experiments/support_v3_2026-06-02/normalized_512/sources/red_chair_blue.png,4602x6286,375x512,"68,0"
eval_mask,red_chair_blue,,,experiments/support_v3_2026-06-02/eval_masks/red_chair_blue_eval_mask.png,experiments/support_v3_2026-06-02/normalized_512/eval_masks/red_chair_blue_eval_mask.png,368x512,368x512,"72,0"
source,pillow_vertical_fabric_strip,,,data/pretty_free_candidates/pexels_plain_pillow_sofa_phase1.jpg,experiments/support_v3_2026-06-02/normalized_512/sources/pillow_vertical_fabric_strip.png,1400x2100,341x512,"85,0"
eval_mask,pillow_vertical_fabric_strip,,,experiments/support_v3_2026-06-02/eval_masks/pillow_vertical_fabric_strip_eval_mask.png,experiments/support_v3_2026-06-02/normalized_512/eval_masks/pillow_vertical_fabric_strip_eval_mask.png,336x512,336x512,"88,0"
source,backpack_remove_toy_charm,,,data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,experiments/support_v3_2026-06-02/normalized_512/sources/backpack_remove_toy_charm.png,1200x1600,384x512,"64,0"
eval_mask,backpack_remove_toy_charm,,,experiments/support_v3_2026-06-02/eval_masks/backpack_remove_toy_charm_eval_mask.png,experiments/support_v3_2026-06-02/normalized_512/eval_masks/backpack_remove_toy_charm_eval_mask.png,384x512,384x512,"64,0"
e2_result,cat_crown,flowalign,10,outputs/e2_rf_comparison/cat_crown/flowalign/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/flowalign/seed_10.png,512x512,512x512,"0,0"
e2_result,cat_crown,flowalign,11,outputs/e2_rf_comparison/cat_crown/flowalign/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/flowalign/seed_11.png,512x512,512x512,"0,0"
e2_result,cat_crown,flowalign,12,outputs/e2_rf_comparison/cat_crown/flowalign/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/flowalign/seed_12.png,512x512,512x512,"0,0"
e2_result,cat_crown,flowedit,10,outputs/e2_rf_comparison/cat_crown/flowedit/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/flowedit/seed_10.png,512x336,512x336,"0,88"
e2_result,cat_crown,flowedit,11,outputs/e2_rf_comparison/cat_crown/flowedit/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/flowedit/seed_11.png,512x336,512x336,"0,88"
e2_result,cat_crown,flowedit,12,outputs/e2_rf_comparison/cat_crown/flowedit/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/flowedit/seed_12.png,512x336,512x336,"0,88"
e2_result,cat_crown,splitflow,10,outputs/e2_rf_comparison/cat_crown/splitflow/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/splitflow/seed_10.png,512x336,512x336,"0,88"
e2_result,cat_crown,splitflow,11,outputs/e2_rf_comparison/cat_crown/splitflow/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/splitflow/seed_11.png,512x336,512x336,"0,88"
e2_result,cat_crown,splitflow,12,outputs/e2_rf_comparison/cat_crown/splitflow/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/splitflow/seed_12.png,512x336,512x336,"0,88"
e2_result,cat_crown,support_v3_controller_rmsgap,10,outputs/e2_rf_comparison/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/support_v3_controller_rmsgap/seed_10.png,512x336,512x336,"0,88"
e2_result,cat_crown,support_v3_controller_rmsgap,11,outputs/e2_rf_comparison/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/support_v3_controller_rmsgap/seed_11.png,512x336,512x336,"0,88"
e2_result,cat_crown,support_v3_controller_rmsgap,12,outputs/e2_rf_comparison/cat_crown/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/cat_crown/support_v3_controller_rmsgap/seed_12.png,512x336,512x336,"0,88"
e2_result,bowl_apple_inside,flowalign,10,outputs/e2_rf_comparison/bowl_apple_inside/flowalign/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/flowalign/seed_10.png,512x512,512x512,"0,0"
