task,method,seed,edit_success_1_5,source_preservation_1_5,locality_1_5,artifact_severity_1_5,overall_1_5,decision,failure_flags,result_image,review_grid,notes
cat_crown,base_only,10,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/cat_crown/base_only/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,base reconstruction; no target edit expected
cat_crown,base_only,11,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/cat_crown/base_only/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,base reconstruction; no target edit expected
cat_crown,base_only,12,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/cat_crown/base_only/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,base reconstruction; no target edit expected
cat_crown,direct_target,10,1,2,2,3,1,reject,semantic_miss;identity_drift;background_drift,outputs/pretty_matrix/cat_crown/direct_target/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,no usable crown; cat identity and crop drift strongly
cat_crown,direct_target,11,1,2,2,3,1,reject,semantic_miss;identity_drift;background_drift,outputs/pretty_matrix/cat_crown/direct_target/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,no usable crown; cat identity and crop drift strongly
cat_crown,direct_target,12,1,2,2,3,1,reject,semantic_miss;identity_drift;background_drift,outputs/pretty_matrix/cat_crown/direct_target/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,no usable crown; cat identity and crop drift strongly
cat_crown,adaptive_full_generic_support,10,1,5,5,1,2,reject,semantic_miss,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,excellent preservation but crown is missing
cat_crown,adaptive_full_generic_support,11,1,5,5,1,2,reject,semantic_miss,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,excellent preservation but crown is missing
cat_crown,adaptive_full_generic_support,12,1,5,5,1,2,reject,semantic_miss,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,excellent preservation but crown is missing
cat_crown,support_v3_controller_rmsgap,10,5,5,5,1,5,pass,success,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,clear golden crown centered on head; stable cat/background
cat_crown,support_v3_controller_rmsgap,11,5,5,5,1,5,pass,success,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,clear golden crown centered on head; stable cat/background
cat_crown,support_v3_controller_rmsgap,12,5,5,5,1,5,pass,success,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/cat_crown_audit_grid.png,clear golden crown centered on head; stable cat/background
bowl_apple_inside,base_only,10,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/bowl_apple_inside/base_only/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,base reconstruction; no apple expected
bowl_apple_inside,base_only,11,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/bowl_apple_inside/base_only/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,base reconstruction; no apple expected
bowl_apple_inside,base_only,12,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/bowl_apple_inside/base_only/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,base reconstruction; no apple expected
bowl_apple_inside,direct_target,10,1,2,2,2,1,reject,semantic_miss;over_edit,outputs/pretty_matrix/bowl_apple_inside/direct_target/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,no clear red apple; composition/crop changes
bowl_apple_inside,direct_target,11,1,2,2,2,1,reject,semantic_miss;over_edit,outputs/pretty_matrix/bowl_apple_inside/direct_target/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,no clear red apple; composition/crop changes
bowl_apple_inside,direct_target,12,1,2,2,2,1,reject,semantic_miss;over_edit,outputs/pretty_matrix/bowl_apple_inside/direct_target/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,no clear red apple; composition/crop changes
bowl_apple_inside,adaptive_full_generic_support,10,3,4,4,2,2,borderline,wrong_placement;borderline,outputs/pretty_matrix/bowl_apple_inside/adaptive_full_generic_support/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,apple appears near rim/outside rather than centered inside bowl
bowl_apple_inside,adaptive_full_generic_support,11,3,4,4,2,2,borderline,wrong_placement;borderline,outputs/pretty_matrix/bowl_apple_inside/adaptive_full_generic_support/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,apple appears near rim/outside rather than centered inside bowl
bowl_apple_inside,adaptive_full_generic_support,12,3,4,4,2,2,borderline,wrong_placement;borderline,outputs/pretty_matrix/bowl_apple_inside/adaptive_full_generic_support/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,apple appears near rim/outside rather than centered inside bowl
bowl_apple_inside,support_v3_controller_rmsgap,10,5,5,5,1,5,pass,success,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,red apple is centered inside bowl; source layout stable
bowl_apple_inside,support_v3_controller_rmsgap,11,5,5,5,1,5,pass,success,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,red apple is centered inside bowl; source layout stable
bowl_apple_inside,support_v3_controller_rmsgap,12,5,5,5,1,5,pass,success,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/bowl_apple_inside_audit_grid.png,red apple is centered inside bowl; source layout stable
tshirt_star,base_only,10,0,5,5,1,4,pass,reconstruction_ok,outputs/pretty_matrix/tshirt_star/base_only/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,base reconstruction; no star expected
tshirt_star,base_only,11,0,5,5,1,4,pass,reconstruction_ok,outputs/pretty_matrix/tshirt_star/base_only/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,base reconstruction; no star expected
tshirt_star,base_only,12,0,5,5,1,4,pass,reconstruction_ok,outputs/pretty_matrix/tshirt_star/base_only/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,base reconstruction; no star expected
tshirt_star,direct_target,10,1,3,3,2,1,reject,semantic_miss;over_edit,outputs/pretty_matrix/tshirt_star/direct_target/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,shirt/person re-rendered and star is tiny/weak
tshirt_star,direct_target,11,1,3,3,2,1,reject,semantic_miss;over_edit,outputs/pretty_matrix/tshirt_star/direct_target/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,shirt/person re-rendered and star is tiny/weak
tshirt_star,direct_target,12,1,3,3,2,1,reject,semantic_miss;over_edit,outputs/pretty_matrix/tshirt_star/direct_target/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,shirt/person re-rendered and star is tiny/weak
tshirt_star,adaptive_full_generic_support,10,1,5,5,1,2,reject,semantic_miss,outputs/pretty_matrix/tshirt_star/adaptive_full_generic_support/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,excellent preservation but no visible star
tshirt_star,adaptive_full_generic_support,11,1,5,5,1,2,reject,semantic_miss,outputs/pretty_matrix/tshirt_star/adaptive_full_generic_support/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,excellent preservation but no visible star
tshirt_star,adaptive_full_generic_support,12,1,5,5,1,2,reject,semantic_miss,outputs/pretty_matrix/tshirt_star/adaptive_full_generic_support/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,excellent preservation but no visible star
tshirt_star,support_v3_controller_rmsgap,10,5,5,5,1,5,pass,success,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,"large red star centered on shirt; folds, pose, jeans, and background stable"
