group,label,n,edit_success_mean,preservation_mean,locality_mean,artifact_mean,overall_mean
method,fireflow,18,3.00,2.83,2.33,4.00,2.83
method,reflex,18,3.83,1.83,2.33,3.33,2.50
method,rf_solver_edit,18,2.83,3.33,3.00,3.83,3.17
method_task,fireflow/backpack_remove_toy_charm,3,1.00,4.00,2.00,4.00,2.00
method_task,fireflow/bowl_apple_inside,3,5.00,2.00,2.00,4.00,3.00
method_task,fireflow/cat_crown,3,4.00,2.00,2.00,4.00,3.00
method_task,fireflow/pillow_vertical_fabric_strip,3,2.00,2.00,2.00,4.00,2.00
method_task,fireflow/red_chair_blue,3,1.00,3.00,2.00,4.00,2.00
method_task,fireflow/tshirt_star,3,5.00,4.00,4.00,4.00,5.00
method_task,reflex/backpack_remove_toy_charm,3,1.00,2.00,2.00,3.00,1.00
method_task,reflex/bowl_apple_inside,3,5.00,2.00,2.00,3.00,3.00
method_task,reflex/cat_crown,3,5.00,2.00,3.00,4.00,3.00
method_task,reflex/pillow_vertical_fabric_strip,3,3.00,1.00,1.00,3.00,2.00
method_task,reflex/red_chair_blue,3,4.00,2.00,3.00,4.00,3.00
method_task,reflex/tshirt_star,3,5.00,2.00,3.00,3.00,3.00
method_task,rf_solver_edit/backpack_remove_toy_charm,3,1.00,4.00,2.00,4.00,2.00
method_task,rf_solver_edit/bowl_apple_inside,3,4.00,3.00,4.00,4.00,4.00
method_task,rf_solver_edit/cat_crown,3,4.00,4.00,4.00,4.00,4.00
method_task,rf_solver_edit/pillow_vertical_fabric_strip,3,2.00,2.00,2.00,4.00,2.00
method_task,rf_solver_edit/red_chair_blue,3,1.00,3.00,2.00,3.00,2.00
method_task,rf_solver_edit/tshirt_star,3,5.00,4.00,4.00,4.00,5.00
task,backpack_remove_toy_charm,9,1.00,3.33,2.00,3.67,1.67
task,bowl_apple_inside,9,4.67,2.33,2.67,3.67,3.33
task,cat_crown,9,4.33,2.67,3.00,4.00,3.33
task,pillow_vertical_fabric_strip,9,2.33,1.67,1.67,3.67,2.00
task,red_chair_blue,9,2.00,2.67,2.33,3.67,2.33
task,tshirt_star,9,5.00,3.33,3.67,3.67,4.33
