task,method,seed,result,metadata,command,support_condition,notes,edit_success,preservation,locality,artifact,overall,failure_mode,visual_note,audit_source
cat_crown,direct_target_raw,10,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_10/result.png,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_10/command.txt,none,Raw direct target SD3 row; no support input.,1,1,1,3,1,target_miss_global_identity_drift,Direct target changes cat identity/crop and does not reliably add a crown.,manual review of e2_support_matched seed10/seed11 grids
cat_crown,direct_target_mask_blend,10,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.,1,4,3,2,2,target_miss_blend_boundary,Mask blend preserves the outside region but pastes a mismatched cat-face patch; no crown.,manual review of e2_support_matched seed10/seed11 grids
cat_crown,flowedit_mask_blend,10,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.,1,4,3,2,2,target_miss_blend_boundary,Mask blend preserves the outside region but inserts a mismatched face/eye patch; no crown.,manual review of e2_support_matched seed10/seed11 grids
cat_crown,support_v3_controller_rmsgap,10,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_10/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.,5,4,4,4,4,success,Crown appears with good preservation and locality.,manual review of e2_support_matched seed10/seed11 grids
cat_crown,direct_target_raw,11,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_11/result.png,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_raw/seed_11/command.txt,none,Raw direct target SD3 row; no support input.,1,1,1,3,1,target_miss_global_identity_drift,Direct target changes cat identity/crop and does not reliably add a crown.,manual review of e2_support_matched seed10/seed11 grids
cat_crown,direct_target_mask_blend,11,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/direct_target_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.,1,4,3,2,2,target_miss_blend_boundary,Mask blend preserves the outside region but pastes a mismatched cat-face patch; no crown.,manual review of e2_support_matched seed10/seed11 grids
cat_crown,flowedit_mask_blend,11,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/flowedit_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.,1,4,3,2,2,target_miss_blend_boundary,Mask blend preserves the outside region but inserts a mismatched face/eye patch; no crown.,manual review of e2_support_matched seed10/seed11 grids
cat_crown,support_v3_controller_rmsgap,11,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/cat_crown/support_v3_controller_rmsgap/seed_11/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.,5,4,4,4,4,success,Crown appears with good preservation and locality.,manual review of e2_support_matched seed10/seed11 grids
tshirt_star,direct_target_raw,10,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_10/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_10/command.txt,none,Raw direct target SD3 row; no support input.,1,2,1,4,1,target_miss_global_drift,Direct target changes pose/crop and leaves only a tiny mark rather than a clear red star.,manual review of e2_support_matched seed10/seed11 grids
tshirt_star,direct_target_mask_blend,10,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.,1,4,3,3,2,target_miss,"Outside is preserved by construction, but the red star is absent or too weak.",manual review of e2_support_matched seed10/seed11 grids
